partition_scheme,condition,roc_auc_mean,roc_auc_standard_deviation,pr_auc_mean,pr_auc_standard_deviation,balanced_accuracy_mean,balanced_accuracy_standard_deviation,f1_score_mean,f1_score_standard_deviation
iid,IID,0.8251305367101197,0.0040655968946707,0.5948769434962743,0.0053128940558702,0.7517510797480961,0.0047458072413831,0.5688419699226148,0.0075786087760279
alpha_05,"Moderate non-IID, alpha=0.5",0.8180916184184043,0.0032700434780571,0.5853045534269182,0.0049585167634241,0.7450233578159554,0.0029762649672614,0.5576872158961422,0.0019197685635561
alpha_01,"Severe non-IID, alpha=0.1",0.8122162495675088,0.0013521919503161,0.5671549232716132,0.0044993361692295,0.7414255569105851,0.0035177244124168,0.5575880893779332,0.0036907758703139
