round,roc_auc,pr_auc,accuracy_at_0_5,sensitivity_at_0_5,specificity_at_0_5,f1_score_at_0_5,log_loss,global_update_l2,mean_client_update_l2,minimum_client_update_l2,maximum_client_update_l2,mean_client_proximal_loss,minimum_client_proximal_loss,maximum_client_proximal_loss,round_seconds
0,0.4660381565809051,0.19715486956610517,0.2202551418901328,1.0,0.0,0.36099850650736076,0.7123579496940655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5765673285262672,0.2763563377434748,0.2202551418901328,1.0,0.0,0.36099850650736076,1.9729228158573906,11.926899070297566,12.997184643709556,11.643728832017262,13.871243876848991,0.024698476120829583,0.019736649468541145,0.02815828286111355,228.1061601638794
2,0.647058138662941,0.34823981423494116,0.2202551418901328,1.0,0.0,0.36099850650736076,2.3639802852027634,7.025667831016169,8.557957565875364,7.89584856832595,9.557074385947598,0.014283868856728077,0.01347783301025629,0.015409372746944427,220.03709411621094
3,0.6907663284354933,0.38551979948890025,0.22311897943243947,0.9929078014184397,0.005676126878130217,0.3602058319039451,1.7407575916317708,6.429677837029283,8.071235686744064,6.605272526167453,10.050176178640648,0.012986441142857075,0.011862152256071568,0.01508890837430954,222.1123399734497
4,0.7529813282184256,0.4482106441348743,0.515230408747722,0.8995271867612293,0.406677796327212,0.44976359338061467,0.8454763106101557,6.0412254537246,8.033866397689973,6.481972163728621,11.602472904279386,0.011422722600400448,0.010438396595418453,0.014442751184105873,218.16268801689148
5,0.7882716268643168,0.5152944735218111,0.7373079927102317,0.6950354609929078,0.7492487479131886,0.5382151029748283,0.5217878042560979,5.514684434376859,7.612046681599229,6.009314244930178,10.720401167967399,0.010148733854293823,0.008230249397456646,0.01446694228798151,221.14785408973694
6,0.7988373056749429,0.5384072320454453,0.7544910179640718,0.682033096926714,0.774958263772955,0.5503099666189795,0.4951071872181034,5.121241404098236,7.841597930597457,5.473308793444218,12.951800394032729,0.01054320391267538,0.00868485402315855,0.014251837506890297,215.20106315612793
7,0.8002589027417644,0.5355264348807556,0.7638635771934392,0.6702127659574468,0.7903171953255426,0.555609995100441,0.48602107111632037,3.85994830167571,7.237191131429924,5.076071457995196,12.077192314906455,0.010194049216806889,0.009465320967137814,0.012365673668682575,222.25386905670166
8,0.8038728850684946,0.5420042074229822,0.791200208279094,0.5295508274231678,0.8651085141903172,0.5276796230859835,0.4331550197775074,3.6951141745731997,7.210217279307256,5.733330125314372,11.634032785877142,0.009614215232431889,0.008659434504806995,0.012077060528099537,225.483824968338
9,0.8058896427063229,0.5555456992164284,0.7787034626399375,0.6146572104018913,0.8250417362270451,0.5502645502645502,0.4543667402935128,2.7863665123993395,6.928461423799798,5.254495681617604,10.71626994420978,0.009468727558851243,0.008284119889140129,0.012739596888422966,227.57853388786316
10,0.7998439084841955,0.5370155362569883,0.537880760218693,0.9208037825059102,0.4297161936560935,0.46744674467446745,0.9058017810138813,2.625954245507929,7.2102471364329945,5.534354684517959,11.699459009624704,0.009691021777689457,0.007860583253204823,0.012371141463518143,220.14426112174988
11,0.8037308042955753,0.5481292326925862,0.6357719343920853,0.8392434988179669,0.5782971619365609,0.5037247250798156,0.7023887107273116,3.025097668089691,7.34198812162095,4.954088648919561,13.372965003658399,0.008714846055954694,0.007442072033882141,0.012601728551089764,225.3059277534485
12,0.8087016580036862,0.5548657830776346,0.7347045040354074,0.74822695035461,0.7308848080133556,0.5540481400437637,0.5272126460817114,2.554551841628595,7.415494936000144,5.50499162433665,13.053512439828706,0.009236385487020016,0.007264823652803898,0.011948402971029282,222.649756193161
13,0.809450147408802,0.5627329660833279,0.6860192658161937,0.806146572104019,0.6520868113522538,0.5307392996108949,0.6064001961055043,2.5169235409322837,7.759269154824063,5.917095066720028,13.35635766445497,0.009139141347259284,0.007419954519718885,0.012012602761387825,229.37180399894714
14,0.8091204016149849,0.5588244337380524,0.6464462379588649,0.8486997635933806,0.5893155258764607,0.5139584824624195,0.6794426893004,2.6826402726374754,7.7244882588119905,5.629914551966266,12.899735143582358,0.0091138388030231,0.007207834627479315,0.012153701856732368,228.86606621742249
15,0.8098994778531596,0.5614134051550774,0.7354855506378547,0.735224586288416,0.735559265442404,0.5504424778761062,0.5200377395007684,2.6352737726619084,7.720987598651968,4.894908410788269,14.994487148158836,0.009292106237262487,0.007745839189738035,0.012951617129147053,229.23077511787415
16,0.8091271109848169,0.5525867652290746,0.6493100755011716,0.8416075650118203,0.594991652754591,0.5138939011187297,0.6654382411910738,2.615242425851346,8.015714600966657,5.673994312929886,13.785564521687888,0.009215885400772094,0.007823248393833637,0.013412215746939182,229.295795917511
17,0.8099326300335074,0.5646151910319921,0.6516532153085134,0.8451536643026005,0.5969949916527546,0.5166184971098265,0.669299681505489,2.530196502377509,8.41639006546966,5.703416204294603,14.867376298446716,0.008972460217773915,0.007895968854427338,0.012748416513204575,225.85610914230347
18,0.8111450526290863,0.5699979762913484,0.7831293933871387,0.5945626477541371,0.8363939899833055,0.5470364328439369,0.4370140749303706,2.3608189816374314,7.938766644583014,5.123511947923425,15.411461956805597,0.008605617005378008,0.007041611708700657,0.013100666925311089,228.99614310264587
19,0.8119762251506648,0.5663117768806372,0.5532413434001562,0.925531914893617,0.4480801335559265,0.47714808043875684,0.82130992909828,2.3532739246876258,8.409741614530736,4.823398335299634,16.769357477013454,0.009459332283586263,0.007791293319314718,0.014103665947914124,229.98938298225403
20,0.8148324433551584,0.5757893885659824,0.7013798489976568,0.7919621749408984,0.6757929883138565,0.5388017691998391,0.5818022677035662,2.3291029987230965,8.563315792940895,5.330062597945454,16.553941106744524,0.008365186396986246,0.007065775338560343,0.010485761798918247,225.05578994750977
