round,roc_auc,pr_auc,accuracy_at_0_5,sensitivity_at_0_5,specificity_at_0_5,f1_score_at_0_5,log_loss,global_update_l2,mean_client_update_l2,minimum_client_update_l2,maximum_client_update_l2,mean_client_proximal_loss,minimum_client_proximal_loss,maximum_client_proximal_loss,round_seconds
0,0.44540092431436157,0.19021934932823567,0.2202551418901328,1.0,0.0,0.36099850650736076,0.7064646872742556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5593686482987801,0.25210680907155736,0.2202551418901328,1.0,0.0,0.36099850650736076,2.2749524412200772,12.104600870115847,13.181235333887837,12.823844800024958,13.596662089656116,0.024614712223410606,0.022211236879229546,0.027195801958441734,222.5541069507599
2,0.6133877581627377,0.30016262137807126,0.2202551418901328,1.0,0.0,0.36099850650736076,2.6139673210479333,7.08056462996086,8.270236481228654,7.673415336294063,9.180707738833012,0.01514878887683153,0.01274137943983078,0.016829006373882294,212.16249012947083
3,0.6919892097546344,0.3875622396356885,0.2202551418901328,1.0,0.0,0.36099850650736076,2.388457749385933,7.472646639486303,8.466648045098562,8.056370155349986,9.195360025560154,0.011789604648947715,0.011430082842707634,0.012235375121235847,212.43257069587708
4,0.7433535798434743,0.44256523218740584,0.2749284040614423,0.9881796690307328,0.07345575959933222,0.3751402288534889,1.4432412577142157,6.62872022506093,7.734980825872396,7.105526395595306,8.559709489871867,0.010511646047234535,0.009138050489127636,0.011448792181909084,219.07977199554443
5,0.7987317317672874,0.5329428839663354,0.5764123926060921,0.8936170212765957,0.48681135225375627,0.48168206435170435,0.7712722384351957,4.9171558671822435,6.284076987838502,5.413318975106501,7.123703099548966,0.011000889912247657,0.00924301240593195,0.014077996835112572,220.41333103179932
6,0.8022014626426235,0.5472030277553208,0.693569382973184,0.7825059101654847,0.6684474123539232,0.5293882447021192,0.5988657573197868,5.924838478724022,6.964733319442077,6.305645341674542,7.441982022562799,0.009202232956886292,0.00868169404566288,0.009762890636920929,218.3431191444397
7,0.8117500799204348,0.5709771326960251,0.74355636552981,0.7269503546099291,0.7482470784641069,0.5553047404063205,0.5174502976797877,3.943847536195788,5.3940740804747955,4.739786561586781,6.6801769126138835,0.009397967904806136,0.008204314857721329,0.010343172587454319,216.39214396476746
8,0.8115178173235928,0.559340571136721,0.6552980994532673,0.8463356973995272,0.6013355592654424,0.5195936139332366,0.6731106540990326,3.5340866191318123,5.095131463930892,4.612706620416402,5.8683453228982,0.008928086422383786,0.007739194668829441,0.011080288328230381,223.55829691886902
9,0.8149358465843387,0.5753567906687959,0.773496485290289,0.6619385342789598,0.805008347245409,0.5628140703517588,0.47121265505270477,3.6645697424797814,5.179830122655369,4.763987793839346,6.09037132245031,0.008567565772682428,0.007265412714332342,0.009920441545546055,219.6662290096283
10,0.8148770409311026,0.574319955744335,0.7508461338193179,0.723404255319149,0.7585976627712855,0.5612104539202201,0.5089569268535357,2.743545854901556,4.570522444689419,4.328523232163757,5.133176129457043,0.008278471045196056,0.00784560851752758,0.009138669818639755,214.10238909721375
11,0.8149413719477301,0.5758008657460221,0.6506118198385837,0.8581560283687943,0.5919866444073456,0.5196850393700787,0.6846874776777035,2.730976019844707,4.642343675526726,4.190744206051254,5.4949969828177965,0.008592649642378093,0.006911429576575756,0.011668926104903221,215.05042672157288
12,0.8104847717038247,0.5678652398764977,0.5699036709190315,0.9042553191489362,0.47545909849749585,0.4808296668761785,0.862918854000902,2.527828676144454,4.304536921894969,3.90317063178103,4.850857080176856,0.008071541599929333,0.007539526559412479,0.00880166795104742,215.8552050590515
13,0.818229752503187,0.5857687166652129,0.7591772975787555,0.7163120567375887,0.7712854757929883,0.5671502105755732,0.4937378482134308,2.69240130144546,4.595233505193795,4.097226537159354,5.957710416960015,0.007630212232470512,0.006909153889864683,0.008688550442457199,214.1944899559021
