round,roc_auc,pr_auc,accuracy_at_0_5,sensitivity_at_0_5,specificity_at_0_5,f1_score_at_0_5,log_loss,global_update_l2,mean_client_update_l2,minimum_client_update_l2,maximum_client_update_l2,round_seconds
0,0.44540092431436157,0.19021934932823567,0.2202551418901328,1.0,0.0,0.36099850650736076,0.7064646872742556,0.0,0.0,0.0,0.0,0.0
1,0.55646921385919,0.24907694204705974,0.2202551418901328,1.0,0.0,0.36099850650736076,1.7900584292548412,12.663652847040565,15.590931414522837,14.123243776962248,20.548127490827365,237.5216040611267
2,0.5901113755392162,0.27898823597149114,0.2202551418901328,1.0,0.0,0.36099850650736076,2.0486015351979145,8.972972657545098,12.763690667594222,9.996113804035543,19.36960922722672,234.34666395187378
3,0.6694433591052069,0.3631772456586964,0.2212965373600625,0.9869976359338062,0.005008347245409015,0.3582922119716799,1.602999658471223,9.976407729353648,14.700215127183919,9.64655541906943,22.029869040436246,222.94719290733337
4,0.7309542697245606,0.4304951189306481,0.5485550637854726,0.8368794326241135,0.4671118530884808,0.44952380952380955,0.7582744018152112,10.09064886166043,15.145110257913993,10.823121353773578,21.590929346671782,220.88539218902588
5,0.7785963208973191,0.4915168011479666,0.7498047383493882,0.6111111111111112,0.7889816360601002,0.5182957393483709,0.4971911766671372,8.417804875297984,15.630336353295064,9.520907622309208,25.05636884115772,221.69996786117554
6,0.7979319354163953,0.5308987986856476,0.7448581098672221,0.6950354609929078,0.7589315525876461,0.5454545454545454,0.5097738811537234,6.951375739238125,14.5643778876404,8.81499735297196,23.14291156013213,210.865375995636
7,0.8015459177431259,0.5316722952915527,0.7347045040354074,0.7163120567375887,0.7398998330550918,0.5432541461228149,0.5281158932522532,5.565892149764368,15.196098821109771,9.76089418334509,23.102236247550522,220.28063917160034
8,0.8041980921709547,0.5517498699962676,0.7865139286644103,0.5366430260047281,0.8570951585976627,0.5254629629629629,0.43504596807410906,6.009102751810924,16.429900510079513,10.213431595422806,25.48045308774748,227.72964191436768
9,0.8033961251415874,0.5483206512617538,0.7852121843269981,0.5815602836879432,0.842737896494157,0.5439469320066335,0.44256442820677055,5.052793471602705,16.0190229225571,11.810745501734232,26.223219707221823,225.1875081062317
10,0.8010182455392557,0.5433614987426303,0.7339234574329602,0.7293144208037825,0.7352253756260434,0.5469858156028369,0.5311679936857575,5.18610876297324,18.254305166606976,11.098158229665245,31.927621219986168,227.65423488616943
11,0.802279607067729,0.5438153241467149,0.7159593855766727,0.7576832151300237,0.7041736227045076,0.540244416350611,0.5545203584806233,4.630151988387068,17.256396947861305,11.277579605830432,29.667247567898656,215.0747811794281
12,0.8066817430153486,0.5505450530477244,0.746680551939599,0.7186761229314421,0.7545909849749582,0.5555047967108269,0.5047596148550058,4.657722826001604,18.577827779021444,12.971207030565314,32.37375371217975,236.68890190124512
13,0.7977831452736437,0.5417199542323493,0.6891434522259828,0.7777777777777778,0.6641068447412354,0.5243027888446216,0.600614578251984,4.219537672021784,17.438772581067305,11.201960585654701,28.256351848706217,227.08538222312927
14,0.8006851450605224,0.5441038481518622,0.7849518354595157,0.549645390070922,0.8514190317195326,0.5296127562642369,0.4396986687740726,4.035503976085324,17.568176004571203,12.0753501134238,29.92857858637474,212.52073884010315
15,0.8073179491429767,0.5609769955498781,0.7664670658682635,0.6560283687943262,0.7976627712854758,0.5530642750373692,0.4651229399853848,4.945417882239519,18.563043801639914,10.304433637923175,35.99530910027288,211.9990930557251
16,0.8050091365830364,0.5409121820488266,0.6362926321270502,0.8605200945626478,0.5729549248747913,0.5103399929898352,0.6661895012869575,4.604548094441533,18.40783988688792,12.656691359974738,30.99549286092781,212.5137300491333
17,0.8032153668249288,0.5490866849544283,0.5438687841707889,0.9160756501182034,0.4387312186978297,0.46941247728649305,0.8398878839568545,4.793227198362674,16.940184542954636,11.792332120533036,27.883651428799908,212.13973689079285
18,0.8052980341546392,0.5556194932957019,0.6701379848997657,0.8238770685579196,0.6267111853088481,0.5238632093198046,0.64209344774161,3.945467585178333,16.362584271922486,11.817976269234467,28.10347744162411,212.5765130519867
19,0.8087482289236987,0.5597886363757038,0.6862796146836762,0.806146572104019,0.6524207011686144,0.5309458933437136,0.5983656961503182,4.474753594201119,19.86814173095617,12.199109310777194,36.91050777885329,215.5588231086731
20,0.8106686873709926,0.5620514595862527,0.7440770632647749,0.7186761229314421,0.7512520868113522,0.5529786266484766,0.49534929393357824,4.460524986491728,16.636181084917432,12.685360720502835,26.85519602445112,213.16973400115967
