round,roc_auc,pr_auc,accuracy_at_0_5,sensitivity_at_0_5,specificity_at_0_5,f1_score_at_0_5,log_loss,global_update_l2,mean_client_update_l2,minimum_client_update_l2,maximum_client_update_l2,mean_client_proximal_loss,minimum_client_proximal_loss,maximum_client_proximal_loss,round_seconds
0,0.49827470528106343,0.21106756254524509,0.2202551418901328,1.0,0.0,0.36099850650736076,0.6974420193967543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.554272092573517,0.24967474917886004,0.2202551418901328,1.0,0.0,0.36099850650736076,1.871994120729156,11.53885489065545,12.949097582097187,11.953499102142812,13.635555970701422,0.021846123784780503,0.02009938284754753,0.023870591074228287,224.30812287330627
2,0.5748477565051286,0.269747716401703,0.2202551418901328,1.0,0.0,0.36099850650736076,2.6400507661449586,6.537585959193978,8.332603958559282,6.957445310600096,9.677535023700475,0.016858252324163915,0.014462999068200588,0.018915867432951927,212.81957387924194
3,0.663346120602896,0.35129140132803305,0.22103618849258005,1.0,0.001001669449081803,0.36122971818958155,1.439574784972995,6.9581979722518295,8.622788970534579,7.373622701583153,12.218868043801368,0.014238667115569115,0.012101400643587112,0.01650603488087654,212.45948815345764
4,0.7549994671971015,0.4619375406346705,0.2923717781827649,0.983451536643026,0.09716193656093489,0.3797352806937471,1.0728644799526903,7.366297415886337,9.164518589109699,7.415098388073041,14.112862030431472,0.012537493370473385,0.011152791790664196,0.01611468754708767,213.3348090648651
5,0.7825201182427766,0.5089794326236741,0.713095548034366,0.7304964539007093,0.7081803005008347,0.5286569717707442,0.5567889179042123,5.720052169339618,7.639885053680554,6.126233295110927,10.891400350356836,0.010511808283627033,0.009124592877924442,0.013318539597094059,215.54308605194092
6,0.7996637421707574,0.5352954348380812,0.7656860192658161,0.6430260047281324,0.8003338898163606,0.5472837022132797,0.47350296317035656,5.252139428086659,8.148861353666666,5.586025492397453,14.461862647449626,0.01049223430454731,0.008501297794282436,0.01239405944943428,216.4271261692047
7,0.8019113810645797,0.5279513162795014,0.7448581098672221,0.7245862884160756,0.750584307178631,0.5557570262919311,0.5196636581158264,4.837773930596698,7.755715886806934,4.807028931280361,14.777010639298881,0.010487139970064164,0.008818262256681919,0.012874915264546871,214.92868089675903
8,0.8024303705545491,0.5215081280609161,0.6870606612861234,0.8049645390070922,0.6537562604340568,0.531201248049922,0.6107955067253187,3.4330210702261414,7.792328959169903,5.410574045951907,15.106536133468317,0.009541673213243484,0.007849744521081448,0.012318271212279797,216.74344515800476
9,0.8034205946080347,0.5370455903992071,0.7461598542046343,0.710401891252955,0.7562604340567612,0.5521359669269638,0.5126204679766252,3.572969978496249,8.076979797431775,5.276931927749505,15.793272250871473,0.009688669443130493,0.008251776918768883,0.011923502199351788,216.49404907226562
10,0.8026857212769903,0.5274209292645692,0.6756053111168966,0.8156028368794326,0.6360601001669449,0.5255140898705255,0.6411496649542119,2.881531103002588,8.194882295871293,5.7992141743800705,15.852313088817098,0.009894271567463874,0.008250211365520954,0.012344625778496265,217.59278178215027
11,0.8032710151276556,0.5412325978388534,0.6839364748763342,0.8108747044917257,0.6480801335559265,0.5305491105955144,0.6187780509921597,3.5105747497710222,8.312499223769562,5.0927539874140795,15.216793076025441,0.010017958283424378,0.008171269670128822,0.011930002830922604,217.29590034484863
12,0.8032293775678141,0.5257717697779584,0.5180942462900286,0.9302600472813238,0.401669449081803,0.45956204379562043,0.8634110637735102,2.9994410284307427,9.404385796167933,5.116916346547729,20.64512331885187,0.009526599012315274,0.008938474580645561,0.01081366278231144,217.69168305397034
13,0.8040935049353335,0.5532400352744368,0.7719343920853944,0.6583924349881797,0.8040066777963272,0.5597989949748744,0.45972872104416435,2.6361847376410728,9.66061459892639,5.4834235722639,17.877432294155266,0.009627319127321243,0.008238074369728565,0.012138606980443,215.83238983154297
14,0.807830031928707,0.551188051245279,0.8021348607133559,0.524822695035461,0.8804674457429048,0.5388349514563107,0.42426621342045173,2.464960057306891,9.319330010854353,4.941489119195087,18.20046850791207,0.009136074408888816,0.007947620935738087,0.011273886077105999,227.3940589427948
15,0.8035881315194354,0.5398281522654002,0.6323873991148139,0.8439716312056738,0.5726210350584308,0.5028169014084507,0.7011243063932096,2.7578848699876315,8.912511671743601,5.297688297569153,18.945656938697617,0.008696392923593522,0.00722050666809082,0.011717512272298336,215.5712959766388
