round,roc_auc,pr_auc,accuracy_at_0_5,sensitivity_at_0_5,specificity_at_0_5,f1_score_at_0_5,log_loss,global_update_l2,mean_client_update_l2,minimum_client_update_l2,maximum_client_update_l2,mean_client_proximal_loss,minimum_client_proximal_loss,maximum_client_proximal_loss,round_seconds
0,0.49827470528106343,0.21106756254524509,0.2202551418901328,1.0,0.0,0.36099850650736076,0.6974420193967543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5451307735114078,0.24023912711202855,0.2202551418901328,1.0,0.0,0.36099850650736076,2.3505820549088323,12.12972688851512,13.34272410323515,12.340627959060416,14.310283914937877,0.02171660177409649,0.01874198019504547,0.024809231981635094,208.25403904914856
2,0.6213054065680784,0.31437669695024006,0.2202551418901328,1.0,0.0,0.36099850650736076,2.7355477537704567,6.893222928428815,8.504986862212773,7.9575785255464195,8.925059503704182,0.015193563140928745,0.014178698882460594,0.016467297449707985,209.67120003700256
3,0.6889461158668704,0.38345606688190836,0.2202551418901328,1.0,0.0,0.36099850650736076,2.1001048195085694,6.829347415642073,8.123560843097513,7.41520730326045,9.070256439148848,0.012566772103309632,0.011041266843676567,0.014576972462236881,220.60655999183655
4,0.7378203230758908,0.43643047095655374,0.23691746940900807,0.9976359338061466,0.022036727879799666,0.36544706646460273,1.6414465165614847,7.395283056617787,8.816543737528932,7.337145783898856,11.987943958530686,0.011244294606149197,0.01020119059830904,0.012417944148182869,207.59574794769287
5,0.7881593435868292,0.5095761980322254,0.5508982035928144,0.9042553191489362,0.45108514190317195,0.4700460829493088,0.8428168324247772,5.575913405681491,7.174250338984382,5.9536075853274895,10.415751057061131,0.010417085140943527,0.009693010710179806,0.011469993740320206,207.32982182502747
6,0.8016516889851881,0.5414535080597277,0.7682895079406404,0.6394799054373522,0.8046744574290484,0.5486815415821501,0.47086746918692435,5.877960812195702,7.530246509713956,6.651782046838454,9.641772028166818,0.009373128600418567,0.008331330493092537,0.011336100287735462,208.69684720039368
7,0.8034576934765191,0.548042345321514,0.7037229888049987,0.7718676122931442,0.6844741235392321,0.5343698854337152,0.5815977807945618,4.065801544680102,6.16748080645724,4.963176799122644,8.803081019146177,0.010262160375714303,0.008749637752771378,0.011408914811909199,208.70133709907532
8,0.8052719860129373,0.5485787083756822,0.6657120541525644,0.8262411347517731,0.6203672787979967,0.5212527964205816,0.6628514998694528,3.6994219000013335,6.041423524432718,4.89353430780439,8.996768367444416,0.008586831204593182,0.0073483847081661224,0.009752264246344566,209.0967972278595
9,0.8035559660111219,0.5399222480528967,0.6464462379588649,0.8475177304964538,0.5896494156928214,0.5136103151862464,0.6982175084509877,4.748112408291493,6.632145947778488,4.5822532228476085,9.347598413452223,0.008572882320731879,0.00722503149881959,0.00977469515055418,209.23920726776123
10,0.8092482743106122,0.5515548472186785,0.7039833376724811,0.7907801418439716,0.679465776293823,0.5406060606060606,0.5912228046650659,2.9368855661484443,5.735464600875813,4.5722877036056255,9.082498824174277,0.008976807445287704,0.008306802250444889,0.00962554756551981,209.88533115386963
11,0.8070424703110385,0.5550205638955522,0.785732882061963,0.6099290780141844,0.8353923205342237,0.5563342318059299,0.447031131813583,2.9180921944928784,5.93854178267358,4.4344597473138885,10.24140721731591,0.008416168298572302,0.007113493047654629,0.010641993023455143,237.16988515853882
12,0.7968951404428973,0.5218023913217515,0.8036969539182505,0.45271867612293143,0.9028380634390651,0.5039473684210526,0.43056856147142303,2.794818914196097,5.661151302389756,4.572480769435034,7.383628233272488,0.008439397811889649,0.007581292185932398,0.010159900411963463,233.15993118286133
13,0.8116078018131085,0.564109723873049,0.6930486852382192,0.8037825059101655,0.6617696160267111,0.5356439543127215,0.6202101520132051,2.863744247868039,5.6197535020597735,4.439275003818889,7.887408941883502,0.00858033737167716,0.006901342887431383,0.009883022867143154,231.4743390083313
14,0.8100253772047186,0.5552333585228141,0.6631085654777402,0.8356973995271868,0.6143572621035058,0.5221565731166913,0.6602399784848132,2.295592387754422,5.753273395142518,4.574523465563199,9.071642620757585,0.007289295829832554,0.006756499409675598,0.007936890237033367,223.16981029510498
15,0.8106035670167381,0.5686046194022141,0.7495443894819057,0.7080378250591016,0.7612687813021702,0.5546296296296296,0.5020514217223686,2.2416653878369273,4.933579958069059,4.248090438569282,6.547817812378128,0.008099992480129003,0.00683010695502162,0.009778272360563278,216.6493968963623
16,0.8114394755640804,0.5663155440325672,0.6219734444155168,0.8605200945626478,0.5545909849749583,0.5006877579092159,0.7532408811801325,2.3628541853209786,5.635521934658329,4.312667911416722,8.144044767779471,0.00709781488403678,0.006379202473908663,0.009075388312339783,212.2114109992981
17,0.8139994948239184,0.5775070472886997,0.7019005467326217,0.7943262411347518,0.6757929883138565,0.5399758939333066,0.5982124261487426,2.3275113687048026,5.29486618278254,4.1239154658703905,7.685677040420704,0.007316595129668713,0.006134206894785166,0.009473423473536968,212.75314688682556
18,0.8138434033081139,0.575254022623568,0.6698776360322832,0.8380614657210402,0.6223706176961603,0.5279225614296351,0.6520256892585845,2.229794014744146,5.624214397931621,4.312992091863036,7.53910203968336,0.007176011987030506,0.005709667224436998,0.00955874752253294,214.79480409622192
19,0.8109706090134463,0.5622078734325222,0.777141369435043,0.6524822695035462,0.8123539232053423,0.563265306122449,0.46130029263798045,2.356316766361485,5.218336074378993,4.27236293409532,6.614346769487391,0.007335656229406596,0.005825339816510677,0.008620118722319603,218.87659287452698
20,0.8115659669188601,0.5656965119171301,0.7065868263473054,0.7848699763593381,0.6844741235392321,0.5409368635437882,0.5839117299691325,2.10229873976002,5.633610504492228,3.9754149980055375,8.526359675245326,0.007358961179852486,0.006107105407863855,0.00876777432858944,214.20354795455933
