round,client_id,client_seed,images,local_epochs,mu,loss,classification_loss,regularization_loss,proximal_loss_epoch_mean,initial_proximal_loss,final_proximal_loss,roc_auc,pr_auc,update_l2,training_seconds
1,0,1011,3828,1,0.01,0.5088931918144226,0.45952171087265015,0.030087845399975777,0.01928381249308586,0.0,0.02492905966937542,0.7594740986824036,0.28999537229537964,12.799915999494528,43.61363220214844
1,1,1012,3745,1,0.01,0.7058277130126953,0.6584066152572632,0.03012366034090519,0.017297279089689255,0.0,0.022137748077511787,0.7200199961662292,0.756139874458313,12.465446375480198,45.071475982666016
1,2,1013,3795,1,0.01,0.6375384330749512,0.5889766812324524,0.030153151601552963,0.01840878650546074,0.0,0.022113937884569168,0.8065414428710938,0.6118180155754089,13.31309916991182,46.03860306739807
1,3,1014,3795,1,0.01,0.24016624689102173,0.18934820592403412,0.02990715578198433,0.020910901948809624,0.0,0.020342689007520676,0.5705968141555786,0.02309488132596016,12.247287933928021,44.69407892227173
1,4,1015,3818,1,0.01,0.4656701982021332,0.41592782735824585,0.03008391335606575,0.019658217206597328,0.0,0.0241401307284832,0.741930365562439,0.22875437140464783,12.057855954912723,47.97296714782715
2,0,2011,3828,1,0.01,0.48059555888175964,0.43692106008529663,0.029684122651815414,0.013990305364131927,0.0,0.019983278587460518,0.7914521098136902,0.33642998337745667,7.843987410166904,41.06784796714783
2,1,2012,3745,1,0.01,0.708853542804718,0.6635419726371765,0.02967224270105362,0.015639180317521095,0.0,0.016183992847800255,0.7275016903877258,0.7633607983589172,7.799432283292574,43.265141010284424
2,2,2013,3795,1,0.01,0.6191256642341614,0.5754392743110657,0.029696989804506302,0.01398949883878231,0.0,0.01929660513997078,0.8169382810592651,0.6177561283111572,8.447288846708268,41.709686040878296
2,3,2014,3795,1,0.01,0.19856813549995422,0.1568298637866974,0.02940063364803791,0.012337629683315754,0.0,0.01178219635039568,0.7040233016014099,0.039956361055374146,8.272876017207304,43.01754188537598
2,4,2015,3818,1,0.01,0.43589553236961365,0.3949768841266632,0.02961510606110096,0.011303601786494255,0.0,0.015948891639709473,0.7738707661628723,0.2557181715965271,6.832740322703903,43.13720679283142
3,0,3011,3828,1,0.01,0.45368558168411255,0.4155960977077484,0.029138199985027313,0.008951178751885891,0.0,0.012607770971953869,0.8133857846260071,0.38319703936576843,6.416606640308701,41.317649841308594
