epoch,accuracy,loss,pr_auc,precision,roc_auc,sensitivity,val_accuracy,val_loss,val_pr_auc,val_precision,val_roc_auc,val_sensitivity
1,0.7106053233146667,0.5945125222206116,0.5095081329345703,0.41858264803886414,0.7817097902297974,0.7216134071350098,0.24811246991157532,1.4763736724853516,0.5086941123008728,0.22627346217632294,0.7788978219032288,0.9976359605789185
2,0.7307307124137878,0.5691980123519897,0.54639732837677,0.4419819414615631,0.8013435006141663,0.730006992816925,0.7807862758636475,0.6090725064277649,0.46113860607147217,0.5714285969734192,0.7551310658454895,0.018912529572844505
3,0.7376850247383118,0.5562113523483276,0.5616132020950317,0.4507705569267273,0.810361385345459,0.7365353107452393,0.7586566209793091,0.5180087685585022,0.5326708555221558,0.46746987104415894,0.7987749576568604,0.6879432797431946
4,0.7455350160598755,0.5482146143913269,0.5740293264389038,0.4607800543308258,0.814972996711731,0.7409652471542358,0.3230929374694824,1.286667823791504,0.5448079109191895,0.24356725811958313,0.8032808899879456,0.9846335649490356
5,0.7405300140380859,0.5489422678947449,0.5692151784896851,0.45409929752349854,0.8131446242332458,0.7335042953491211,0.7563134431838989,0.5156907439231873,0.532076358795166,0.4635922312736511,0.8075225949287415,0.6773049831390381
6,0.7435330152511597,0.5413211584091187,0.5725280046463013,0.4587077498435974,0.8178063631057739,0.749825119972229,0.5066388845443726,0.9421061873435974,0.5616489052772522,0.30289363861083984,0.8158228993415833,0.9527186751365662
7,0.7488541007041931,0.536026120185852,0.5804249048233032,0.4653422236442566,0.8219518661499023,0.7481930255889893,0.26815932989120483,1.2456578016281128,0.5705002546310425,0.23119014501571655,0.8154507279396057,0.9988179802894592
8,0.7499604821205139,0.528150737285614,0.5888243317604065,0.46704167127609253,0.827223539352417,0.7549545168876648,0.5753709673881531,0.7881616950035095,0.5726054906845093,0.33247971534729004,0.8190265893936157,0.9208037853240967
9,0.7531742453575134,0.5250794887542725,0.5865828990936279,0.47155988216400146,0.8295133709907532,0.7654464840888977,0.7828690409660339,0.7094228267669678,0.5439828634262085,0.875,0.791609525680542,0.016548464074730873
10,0.7493282556533813,0.524750828742981,0.5929418802261353,0.4663413166999817,0.8298186659812927,0.7575192451477051,0.6391564607620239,0.6503406763076782,0.5673861503601074,0.3659384250640869,0.822191059589386,0.8711584210395813
11,0.7526473999023438,0.5203821659088135,0.5927042961120605,0.47083333134651184,0.8325622081756592,0.7640475630760193,0.48997655510902405,0.8421789407730103,0.5893646478652954,0.2980036437511444,0.8302304744720459,0.9704491496086121
12,0.7538591027259827,0.5160297155380249,0.5999777317047119,0.4725840985774994,0.8360419869422913,0.769643247127533,0.4944024980068207,0.8712421655654907,0.5729653239250183,0.299561083316803,0.8292787075042725,0.9680851101875305
13,0.7552289366722107,0.5129827260971069,0.6069470047950745,0.4742906391620636,0.8382809162139893,0.7677780389785767,0.7912002205848694,0.44662752747535706,0.5178579092025757,0.6746031641960144,0.8050819635391235,0.1004728153347969
14,0.7553869485855103,0.5126849412918091,0.6052262783050537,0.474656343460083,0.8381602168083191,0.7729074358940125,0.5477740168571472,0.8977358937263489,0.5723056793212891,0.32187125086784363,0.8266217708587646,0.9515366554260254
15,0.7569674849510193,0.5082535147666931,0.60881507396698,0.47671744227409363,0.8416172862052917,0.7733737230300903,0.439729243516922,0.7996562123298645,0.5652763843536377,0.27924272418022156,0.8261038064956665,0.9763593673706055
