algorithm,partition,condition,number_of_seeds,roc_auc_mean,roc_auc_standard_deviation,roc_auc_minimum,roc_auc_maximum,pr_auc_mean,pr_auc_standard_deviation,pr_auc_minimum,pr_auc_maximum,balanced_accuracy_mean,balanced_accuracy_standard_deviation,balanced_accuracy_minimum,balanced_accuracy_maximum,f1_score_mean,f1_score_standard_deviation,f1_score_minimum,f1_score_maximum,accuracy_mean,accuracy_standard_deviation,accuracy_minimum,accuracy_maximum,precision_mean,precision_standard_deviation,precision_minimum,precision_maximum,sensitivity_mean,sensitivity_standard_deviation,sensitivity_minimum,sensitivity_maximum,specificity_mean,specificity_standard_deviation,specificity_minimum,specificity_maximum,global_update_l2_mean,global_update_l2_standard_deviation,global_update_l2_minimum,global_update_l2_maximum,mean_client_update_l2_mean,mean_client_update_l2_standard_deviation,mean_client_update_l2_minimum,mean_client_update_l2_maximum,selected_threshold_mean,selected_threshold_standard_deviation,selected_threshold_minimum,selected_threshold_maximum,log_loss_mean,log_loss_standard_deviation,log_loss_minimum,log_loss_maximum,training_minutes_mean,training_minutes_standard_deviation,training_minutes_minimum,training_minutes_maximum
FedAvg,alpha_05,"Moderate non-IID, alpha=0.5",3,0.8180916184184043,0.003270043478057193,0.8147491682354753,0.8212840944521406,0.5853045534269182,0.004958516763424178,0.5804155064443397,0.5903297363677985,0.7450233578159554,0.0029762649672614235,0.743101978474763,0.7484517142439921,0.5576872158961422,0.0019197685635561873,0.5556978233034571,0.5595288178376104,0.7308860539789985,0.0047246923852524835,0.7274147357458995,0.736266597240302,0.4371469673349171,0.004396133048194219,0.43435662965382105,0.4422145328719723,0.7702915681639085,0.015381577065360988,0.7553191489361702,0.7860520094562647,0.7197551474680023,0.010200502381649079,0.7108514190317196,0.7308848080133556,4.728918946639482,0.35156569843519264,4.408998605452441,5.105296934862005,10.557431817420026,2.0092473909314625,8.771776604193473,12.733088981134523,0.5419262051582336,0.05396635654306484,0.4850836396217346,0.5924621820449829,0.5833114977057122,0.055101037076526006,0.5440412074306256,0.6462999300680038,415.213164015611,300.18026123799336,69.74226570129395,612.3531834483147
FedAvg,alpha_01,"Severe non-IID, alpha=0.1",3,0.8122162495675088,0.001352191950316188,0.8106686873709926,0.8131695063087812,0.5671549232716132,0.004499336169229566,0.5620514595862527,0.5705492818245824,0.7414255569105851,0.003517724412416865,0.7385273722555717,0.7453393559794299,0.5575880893779332,0.003690775870313996,0.5534535855697317,0.5605504587155963,0.7398246984292286,0.009409849928678955,0.7331424108305129,0.7505857849518355,0.4460700168509895,0.010372842905757539,0.43940419769803657,0.4580209895052474,0.7442868400315209,0.022468995160572533,0.7222222222222222,0.7671394799054374,0.7385642737896494,0.01805785279865102,0.7235392320534224,0.7585976627712855,4.290137799502122,0.2812199648728166,3.965547415040115,4.460524986491728,16.823503600396474,3.0363908252707175,13.885110777123566,19.94921893914843,0.47164716323216754,0.051259213104652375,0.41798776388168335,0.5201103687286377,0.49401423034605046,0.017888791461064805,0.4754953102631252,0.511198086841448,71.52269271082348,1.8448547180543897,70.32755706707637,73.64742359717687
FedProx,alpha_05,"Moderate non-IID, alpha=0.5",3,0.816663246203615,0.0029126626789029424,0.8139994948239184,0.8197733022334309,0.5820873272340292,0.005297195638970612,0.5775070472886997,0.5878883158725209,0.7431762419898674,0.0049109728179817565,0.7402199094629741,0.7488451990512162,0.5601925269041753,0.0031885198137213237,0.558055805580558,0.5638575152041703,0.7427753189273627,0.0036448841447539377,0.7386097370476439,0.7453788076021869,0.44938265703628116,0.003213819020544662,0.44574175824175827,0.45182481751824816,0.743892828999212,0.02014086354473142,0.7316784869976359,0.7671394799054374,0.742459654980523,0.010346993471231103,0.730550918196995,0.7492487479131886,2.2905635757284775,0.1451999549924072,2.1304592715750434,2.413720086905587,5.045928678451104,0.8900615556941118,4.05790207522528,5.785017777345494,0.6013365387916565,0.02688029427379695,0.5740469098091125,0.6277878880500793,0.6018599573566527,0.010280654641063544,0.5939003954635689,0.6134670504576463,71.78739580975639,0.6212582153777816,71.11759996414185,72.3447615146637
FedProx,alpha_01,"Severe non-IID, alpha=0.1",3,0.8133017861394943,0.0013412902133049021,0.8123318217517771,0.8148324433551584,0.5690673281386317,0.005822293319211098,0.5656086905317188,0.5757893885659824,0.7409555063535102,0.0029327986550263105,0.7387598321868204,0.7442861822501647,0.5602451269331129,0.010346650969288709,0.5486284289276808,0.5684705882352942,0.747027683762909,0.025786807297651343,0.7172611299140849,0.7625618328560271,0.4562645108219298,0.02874785954669048,0.4230769230769231,0.4734726688102894,0.7301024428684003,0.04423289356579521,0.6962174940898345,0.7801418439716312,0.7518085698386199,0.04542415211383978,0.6994991652754591,0.7813021702838063,2.1939709848955204,0.13468089112443835,2.0597457958441554,2.3291029987230965,9.355408000388627,0.7317624142104497,8.563315792940895,10.00624555221572,0.5726742247740427,0.11390214283928295,0.4437215030193329,0.6595580577850342,0.5639651322650431,0.05018788381754704,0.5072951129281141,0.6027980161634491,73.99953073925442,1.008522821859081,72.92256173292796,74.92170991500218
