round,roc_auc,pr_auc,accuracy_at_0_5,sensitivity_at_0_5,specificity_at_0_5,f1_score_at_0_5,log_loss,global_update_l2,mean_client_update_l2,minimum_client_update_l2,maximum_client_update_l2,round_seconds
0,0.4660381565809051,0.19715486956610517,0.2202551418901328,1.0,0.0,0.36099850650736076,0.7123579496940655,0.0,0.0,0.0,0.0,0.0
1,0.5706228268548448,0.2676627584346115,0.2202551418901328,1.0,0.0,0.36099850650736076,2.0854840789301017,12.786658962847245,14.882095002432518,14.290630051280926,15.32346379091384,208.576984167099
2,0.6547425377994056,0.3556004210174725,0.2202551418901328,1.0,0.0,0.36099850650736076,2.048091250653254,11.734686594047552,14.089248021398936,12.1261839035269,16.475844934024252,208.99229073524475
3,0.6833635254975787,0.3747188809337584,0.24733142410830514,0.9657210401891253,0.04440734557595993,0.3611049723756906,1.5008650681580817,11.915952489290422,14.505436323694699,12.381082239456711,18.92546082874187,209.14600706100464
4,0.7543778638155793,0.4480030628209109,0.6459255402239,0.7635933806146572,0.6126878130217028,0.48717948717948717,0.645555235858865,11.834036877742395,15.47744934877053,11.310581048703918,22.228494632090033,210.1248230934143
5,0.7875671430319248,0.5133680966094777,0.7623014839885447,0.6052009456264775,0.806677796327212,0.5286525554981931,0.4835768173585542,10.824052766392667,14.370503728905192,11.040894959326232,20.56565647150432,209.47822093963623
6,0.8001223473322363,0.539784480654715,0.7672481124707108,0.6252955082742316,0.8073455759599332,0.5420081967213115,0.4688166440661426,10.007306948431337,15.175602350974069,10.774195792320443,22.36418546571254,209.4889497756958
7,0.8007277692923983,0.5465365790008947,0.7849518354595157,0.5791962174940898,0.8430717863105175,0.5426356589147286,0.45006351758840185,8.108898441232647,14.355929325323729,9.486301264191075,19.936218446062334,209.67124915122986
8,0.805884906680559,0.5574417643719879,0.7896381150741995,0.5460992907801419,0.8584307178631052,0.5334872979214781,0.4327844354135073,6.978671890172531,13.983129595304103,11.286287439973215,17.859224317893435,209.99311780929565
9,0.8074158270087655,0.5617443189039708,0.7820879979172091,0.5945626477541371,0.8350584307178631,0.545849158979924,0.44572624686904727,5.376984434103624,13.420281468075894,10.754946112207932,19.09856819873688,209.82857966423035
10,0.800973253294498,0.5362791141824225,0.5857849518354595,0.8853427895981087,0.5011686143572621,0.4849465846552282,0.795144383610971,5.116464639127754,13.549713000018894,10.62934394869892,19.032752702548105,211.07100892066956
11,0.8071304814564857,0.5554988866224009,0.7201249674563915,0.7565011820330969,0.7098497495826377,0.5435244161358811,0.5467587130521876,5.342840110443706,13.268360238446814,10.546967313699632,20.61447843565072,212.1767828464508
12,0.8098035733314388,0.5606158623378896,0.7518875292892476,0.7198581560283688,0.7609348914858097,0.5610317825886688,0.4958186934700037,4.711332546316059,13.218740214106655,10.903579796686032,20.308401848485946,210.69631791114807
13,0.8082221353950831,0.5546674971836476,0.6758656599843791,0.8203309692671394,0.635058430717863,0.527155336118496,0.6222735381839877,4.894530617129063,14.323874037060529,11.486064812557666,21.190725774618024,213.92409110069275
14,0.8086894232704627,0.5547388262376224,0.6646706586826348,0.8297872340425532,0.6180300500834724,0.5215453194650818,0.6389359061981738,5.26307297112438,13.57868336552291,11.401191456130368,17.665217169760208,211.68246865272522
15,0.8094179819004881,0.5540096921397214,0.697214267117938,0.806146572104019,0.6664440734557596,0.5397704788286506,0.5781200175589204,4.973359480833505,13.082477665248158,9.565942131575211,19.59845610759648,212.3637728691101
16,0.8098909924736657,0.5487081213216047,0.690445196563395,0.8073286052009456,0.6574290484140234,0.5346379647749511,0.5878914740401898,5.35131909927774,13.718307269989719,11.057134954516364,17.198704035331204,212.43993711471558
17,0.8096145269696934,0.5601427762547867,0.6808122884665452,0.8167848699763594,0.6424040066777963,0.5299079754601227,0.6093761725741831,4.910418907618327,14.074045489147135,9.47626781930658,17.908264916962437,211.8018822669983
18,0.8106813167730299,0.5683439746976966,0.7789638115074199,0.6099290780141844,0.8267111853088481,0.5486443381180224,0.4395320005580115,4.7962108656155085,13.294475865928458,9.661564352996338,22.15942148573009,212.26365423202515
19,0.8120701563283171,0.5591903315145857,0.590991929185108,0.8971631205673759,0.5045075125208681,0.49142117190029133,0.7292035023901645,4.6172380140802405,14.908928625475799,9.980277108845513,23.868423118937677,212.65950894355774
20,0.8131695063087812,0.5705492818245824,0.7664670658682635,0.6855791962174941,0.7893155258764608,0.5639280505590666,0.4754953102631252,4.444340996974522,13.885110777123566,10.769522518842011,21.813407244480263,212.93996715545654
