round,client_id,client_seed,images,local_epochs,mu,loss,classification_loss,regularization_loss,proximal_loss_epoch_mean,initial_proximal_loss,final_proximal_loss,roc_auc,pr_auc,update_l2,training_seconds
1,0,1033,3832,1,0.01,0.5520918369293213,0.5051889419555664,0.030179737135767937,0.016723036766052246,0.0,0.023644128814339638,0.7551712989807129,0.32381120324134827,13.635555970701422,43.67981505393982
1,1,1034,3746,1,0.01,0.7426086068153381,0.6937751770019531,0.030185647308826447,0.01864778995513916,0.0,0.020524313673377037,0.6926817893981934,0.7407926321029663,13.20500891219709,40.97476577758789
1,2,1035,3799,1,0.01,0.6499301195144653,0.6019898056983948,0.030164014548063278,0.01777656190097332,0.0,0.023870591074228287,0.8005751371383667,0.6006013751029968,13.542601079283454,45.200697898864746
1,3,1036,3805,1,0.01,0.342349112033844,0.2949621379375458,0.030060525983572006,0.017326384782791138,0.0,0.02109220251441002,0.7150396108627319,0.10762052237987518,12.408822846161158,44.09536600112915
1,4,1037,3799,1,0.01,0.28719067573547363,0.24176236987113953,0.029937000945210457,0.015491209924221039,0.0,0.02009938284754753,0.7529947757720947,0.11527857184410095,11.953499102142812,41.11676812171936
2,0,2033,3832,1,0.01,0.5167816877365112,0.4755581319332123,0.029678422957658768,0.011545093730092049,0.0,0.01647982746362686,0.7866976857185364,0.3860693573951721,8.561219322586645,40.82947373390198
2,1,2034,3746,1,0.01,0.735834538936615,0.6893389821052551,0.029725203290581703,0.016770046204328537,0.0,0.018370283767580986,0.7071141600608826,0.7504477500915527,8.996264484971576,40.38701272010803
2,2,2035,3799,1,0.01,0.6257351636886597,0.5823360681533813,0.02974838577210903,0.013650796376168728,0.0,0.018915867432951927,0.8133799433708191,0.6264230012893677,9.677535023700475,40.39605498313904
2,3,2036,3805,1,0.01,0.3108094334602356,0.2702745497226715,0.02953978441655636,0.010995151475071907,0.0,0.014462999068200588,0.7762128710746765,0.15257048606872559,7.470555650937624,41.09720015525818
2,4,2037,3799,1,0.01,0.2740831673145294,0.23173804581165314,0.029492968693375587,0.012852199375629425,0.0,0.016062283888459206,0.7716609239578247,0.16634011268615723,6.957445310600096,40.9320011138916
3,0,3033,3832,1,0.01,0.5100510716438293,0.47151055932044983,0.029183419421315193,0.00935728196054697,0.0,0.012101400643587112,0.7926664352416992,0.38675710558891296,7.373622701583153,40.24674201011658
3,1,3034,3746,1,0.01,0.7167137861251831,0.6714054346084595,0.029269883409142494,0.016038548201322556,0.0,0.01650603488087654,0.7231335043907166,0.7651605606079102,12.218868043801368,40.235591888427734
3,2,3035,3799,1,0.01,0.6106801629066467,0.5704078674316406,0.029235919937491417,0.011036276817321777,0.0,0.014558124355971813,0.8199068307876587,0.6363465189933777,7.857504822783972,40.91651010513306
3,3,3036,3805,1,0.01,0.3021431267261505,0.26174089312553406,0.0290949996560812,0.011307253502309322,0.0,0.01259266585111618,0.8009492754936218,0.15814319252967834,7.9536646172099355,40.61079978942871
3,4,3037,3799,1,0.01,0.2726055383682251,0.23179732263088226,0.029068253934383392,0.011740040965378284,0.0,0.015435109846293926,0.7836062908172607,0.12312180548906326,7.710284667294469,41.13764977455139
4,0,4033,3832,1,0.01,0.5044542551040649,0.46614494919776917,0.02870623953640461,0.009603164158761501,0.0,0.011981896124780178,0.7978284358978271,0.39075297117233276,7.618317711446537,41.39690589904785
4,1,4034,3746,1,0.01,0.7231897115707397,0.6764082312583923,0.028822513297200203,0.017958976328372955,0.0,0.01611468754708767,0.7209442257881165,0.7584365606307983,14.112862030431472,39.90452718734741
4,2,4035,3799,1,0.01,0.60901939868927,0.5697211623191833,0.028781242668628693,0.010516962967813015,0.0,0.011755240149796009,0.8189439177513123,0.6290687322616577,7.653405602752411,40.8371798992157
4,3,4036,3805,1,0.01,0.29538244009017944,0.255979984998703,0.028623437508940697,0.010779088363051414,0.0,0.011152791790664196,0.812949538230896,0.1682036966085434,7.415098388073041,40.511775970458984
4,4,4037,3799,1,0.01,0.26025304198265076,0.22047242522239685,0.028548918664455414,0.011231658048927784,0.0,0.011682851240038872,0.8075404763221741,0.16181033849716187,9.022909212845034,40.96600818634033
5,0,5033,3832,1,0.01,0.501822829246521,0.46569758653640747,0.028185272589325905,0.007940060459077358,0.0,0.010132957249879837,0.7983554601669312,0.3937264084815979,6.126233295110927,41.70801401138306
5,1,5034,3746,1,0.01,0.6974768042564392,0.6544875502586365,0.02817728742957115,0.014812198467552662,0.0,0.013318539597094059,0.7357567548751831,0.7665383219718933,10.891400350356836,40.872427225112915
5,2,5035,3799,1,0.01,0.6071776151657104,0.5696017742156982,0.028230013325810432,0.009345879778265953,0.0,0.010840462520718575,0.8185375928878784,0.6214776039123535,6.7661395684524,41.85331201553345
5,3,5036,3805,1,0.01,0.2865327298641205,0.24923039972782135,0.028081286698579788,0.009221208281815052,0.0,0.009142489172518253,0.8237833976745605,0.2014901340007782,6.933535908006056,40.41408896446228
5,4,5037,3799,1,0.01,0.2570778727531433,0.2197454869747162,0.02800004743039608,0.009332395158708096,0.0,0.009124592877924442,0.8085319399833679,0.16781075298786163,7.482116146476551,40.91349196434021
6,0,6033,3832,1,0.01,0.4924090504646301,0.4577878415584564,0.02759164571762085,0.007029682397842407,0.0,0.008501297794282436,0.8074145317077637,0.4002707600593567,5.586025492397453,41.488154888153076
6,1,6034,3746,1,0.01,0.7191247940063477,0.6742895841598511,0.027759242802858353,0.01707591861486435,0.0,0.01239405944943428,0.7211513519287109,0.7521278262138367,14.461862647449626,40.70949196815491
6,2,6035,3799,1,0.01,0.5999930500984192,0.5629713535308838,0.027707813307642937,0.009313932619988918,0.0,0.010778582654893398,0.8244881629943848,0.6559314131736755,6.363216264775673,41.559581995010376
6,3,6036,3805,1,0.01,0.289428174495697,0.25321993231773376,0.02754081040620804,0.008667506277561188,0.0,0.009987784549593925,0.8204019069671631,0.17168737947940826,6.497554363481751,41.00609993934631
6,4,6037,3799,1,0.01,0.2612055838108063,0.22286921739578247,0.027500703930854797,0.010835661552846432,0.0,0.010799447074532509,0.8005965948104858,0.15498754382133484,7.8356480002288285,41.29562497138977
