seed,threshold_type,threshold,accuracy,precision,sensitivity,recall,specificity,negative_predictive_value,f1_score,balanced_accuracy,roc_auc,pr_auc,average_precision,log_loss,true_negative,false_positive,false_negative,true_positive,sample_count,positive_count,negative_count
11,fixed_0.5,0.5,0.7688102056756053,0.4841628959276018,0.7588652482269503,0.7588652482269503,0.771619365609349,0.9188866799204771,0.5911602209944752,0.7652423069181497,0.841200266796118,0.6161689537150186,0.6167054411253395,0.47252615791799185,2311,684,204,642,3841,846,2995
11,validation_youden,0.5301659107208252,0.7815673001822442,0.5028112449799197,0.7399527186761229,0.7399527186761229,0.7933222036727879,0.9152542372881356,0.5987565758010521,0.7666374611744554,0.841200266796118,0.6161689537150186,0.6167054411253395,0.47252615791799185,2376,619,220,626,3841,846,2995
