round,client_id,client_seed,images,local_epochs,loss,roc_auc,pr_auc,update_l2,training_seconds
1,0,1011,3796,1,0.6355404853820801,0.737983226776123,0.42787837982177734,15.255304565857477,39.04288101196289
1,1,1012,3796,1,0.6151255965232849,0.7595545053482056,0.4822726547718048,14.472265896090189,38.99973392486572
1,2,1013,3797,1,0.621711015701294,0.7554232478141785,0.4727794826030731,14.032834209974466,39.294418811798096
1,3,1014,3796,1,0.621312141418457,0.7558091878890991,0.46442559361457825,14.505116401290335,41.11216497421265
1,4,1015,3796,1,0.6217220425605774,0.7547556161880493,0.4670887887477875,14.464377223331587,46.51681876182556
2,0,2011,3796,1,0.6079828143119812,0.7682968378067017,0.48873353004455566,10.17843254823333,43.10354709625244
2,1,2012,3796,1,0.5962489247322083,0.7814741134643555,0.4979414939880371,11.669850621941915,44.14947700500488
2,2,2013,3797,1,0.5940333604812622,0.782200813293457,0.5341445207595825,11.559067252631655,44.63379907608032
2,3,2014,3796,1,0.6035125255584717,0.7754133343696594,0.4865396022796631,12.597709045265919,47.20958399772644
2,4,2015,3796,1,0.5862448215484619,0.7906171679496765,0.5271875262260437,11.442889284036667,43.8213050365448
3,0,3011,3796,1,0.5910443663597107,0.7854575514793396,0.5049903988838196,12.654516514151851,43.16002297401428
3,1,3012,3796,1,0.5848948955535889,0.7916139364242554,0.5170887112617493,11.948474111519404,48.82268309593201
3,2,3013,3797,1,0.5783990025520325,0.7970346212387085,0.5410265922546387,13.51755539339771,43.79009294509888
3,3,3014,3796,1,0.6029933094978333,0.7748609185218811,0.4881020784378052,16.441251509473666,38.70518493652344
3,4,3015,3796,1,0.5869487524032593,0.7902314066886902,0.5269632339477539,13.76897496398399,42.012601137161255
4,0,4011,3796,1,0.6015619039535522,0.7736102938652039,0.4918797016143799,16.216477059568366,39.26075720787048
4,1,4012,3796,1,0.5748081803321838,0.7984827756881714,0.5446141958236694,10.501722195989295,44.32096004486084
4,2,4013,3797,1,0.5696582794189453,0.8025824427604675,0.5753456354141235,14.08721149041061,42.957889795303345
4,3,4014,3796,1,0.5952187180519104,0.779756486415863,0.5048502683639526,15.200177346867191,40.499351978302
4,4,4015,3796,1,0.572769820690155,0.8007625937461853,0.5375598073005676,14.471266452900393,39.07556486129761
5,0,5011,3796,1,0.5788886547088623,0.7934067249298096,0.5253362655639648,11.306710634550031,38.69016408920288
5,1,5012,3796,1,0.5778950452804565,0.7943731546401978,0.5445927381515503,13.425219397909531,40.60938096046448
5,2,5013,3797,1,0.5623406767845154,0.8076604008674622,0.5658145546913147,11.142889599035847,41.1086220741272
5,3,5014,3796,1,0.5783155560493469,0.7958072423934937,0.5332150459289551,13.944065703929764,40.847712993621826
5,4,5015,3796,1,0.575473427772522,0.798562228679657,0.538612961769104,12.959381741577598,39.08780598640442
6,0,6011,3796,1,0.5833979845046997,0.7894866466522217,0.520458459854126,10.192347398858951,38.75743508338928
6,1,6012,3796,1,0.5659402012825012,0.8039337992668152,0.5618267059326172,10.376791565793125,40.74192786216736
6,2,6013,3797,1,0.5644034147262573,0.805705726146698,0.5680974721908569,10.892711124484123,41.627761125564575
6,3,6014,3796,1,0.5797742009162903,0.7921919226646423,0.5260418653488159,10.962145388198152,43.157675981521606
6,4,6015,3796,1,0.5684577822685242,0.8020665645599365,0.551598310470581,9.77109258766914,39.92843699455261
7,0,7011,3796,1,0.579267680644989,0.7925195693969727,0.51341712474823,9.598145307114212,41.5552659034729
7,1,7012,3796,1,0.5586737990379333,0.8098921775817871,0.5572568774223328,8.922080016896555,39.25463080406189
7,2,7013,3797,1,0.5622420310974121,0.8071079254150391,0.5604881644248962,8.584659765516617,41.67494201660156
7,3,7014,3796,1,0.5742027163505554,0.7971351146697998,0.5234718322753906,9.063892402869785,42.27575206756592
7,4,7015,3796,1,0.5675303936004639,0.8029485940933228,0.5414305925369263,9.650127994479032,42.85270595550537
8,0,8011,3796,1,0.5736603736877441,0.7965490221977234,0.5246601700782776,8.045757224223228,42.71068215370178
8,1,8012,3796,1,0.5617835521697998,0.8057243227958679,0.5658851861953735,7.497311726404792,42.71587610244751
8,2,8013,3797,1,0.5515426993370056,0.8155618906021118,0.5576796531677246,8.123378548048077,42.46702694892883
8,3,8014,3796,1,0.566482424736023,0.8022136688232422,0.5502150654792786,11.582218324994399,42.639060258865356
8,4,8015,3796,1,0.5593361258506775,0.8100118637084961,0.5670366287231445,9.091946395287282,42.35034990310669
9,0,9011,3796,1,0.5750822424888611,0.7942017316818237,0.5371633768081665,8.196738323517495,42.5084810256958
9,1,9012,3796,1,0.5506957173347473,0.814478874206543,0.5768722295761108,8.278343124874297,44.27594017982483
9,2,9013,3797,1,0.5569398403167725,0.8118389844894409,0.5687310695648193,7.706427995192962,42.71980118751526
9,3,9014,3796,1,0.5659920573234558,0.8011589646339417,0.5487247705459595,7.502701510981584,43.033507108688354
9,4,9015,3796,1,0.5579131841659546,0.8098195791244507,0.5649833083152771,8.841409670041575,42.37197780609131
10,0,10011,3796,1,0.5687776803970337,0.7997314929962158,0.5399496555328369,8.411012222685002,42.49802803993225
