round,client_id,client_seed,images,local_epochs,mu,loss,classification_loss,regularization_loss,proximal_loss_epoch_mean,initial_proximal_loss,final_proximal_loss,roc_auc,pr_auc,update_l2,training_seconds
1,0,1033,3796,1,0.01,0.7407515048980713,0.6927838921546936,0.030170079320669174,0.017797701060771942,0.0,0.022025665268301964,0.7339885234832764,0.6863865852355957,13.509012156655116,39.79304599761963
1,1,1034,3796,1,0.01,0.5622206330299377,0.5133733749389648,0.03020082414150238,0.018646489828824997,0.0,0.024809231981635094,0.7626727819442749,0.3632861077785492,12.992215630372108,39.830646991729736
1,2,1035,3796,1,0.01,0.4480329155921936,0.4027364253997803,0.030115442350506783,0.015181152150034904,0.0,0.01874198019504547,0.7114981412887573,0.19920451939105988,12.340627959060416,39.86031413078308
1,3,1036,3797,1,0.01,0.5398333668708801,0.49237629771232605,0.03016708977520466,0.017290055751800537,0.0,0.021595444530248642,0.7818224430084229,0.38045239448547363,13.561480855150219,39.95256519317627
1,4,1037,3796,1,0.01,0.6435618996620178,0.5962551832199097,0.0302076805382967,0.01709906943142414,0.0,0.021410686895251274,0.7787188291549683,0.5543542504310608,14.310283914937877,40.015788078308105
2,0,2033,3796,1,0.01,0.718662679195404,0.6751584410667419,0.029792888090014458,0.01371153723448515,0.0,0.014536487869918346,0.7550589442253113,0.7144583463668823,8.621124057607076,40.104986906051636
2,1,2034,3796,1,0.01,0.5338811278343201,0.49103420972824097,0.02983378991484642,0.013013244606554508,0.0,0.016467297449707985,0.785974383354187,0.4319874942302704,8.89160097158276,40.020225048065186
2,2,2035,3796,1,0.01,0.4169919490814209,0.3742617070674896,0.029783938080072403,0.012946347706019878,0.0,0.014178698882460594,0.7713009715080261,0.23316016793251038,7.9575785255464195,39.890414237976074
2,3,2036,3797,1,0.01,0.5045207142829895,0.46349331736564636,0.029755309224128723,0.011271970346570015,0.0,0.014652963727712631,0.8103579878807068,0.42656201124191284,8.129571252623427,40.526593923568726
2,4,2037,3796,1,0.01,0.6218533515930176,0.5805438160896301,0.029799139127135277,0.011510230600833893,0.0,0.01613236777484417,0.7931873798370361,0.5648939609527588,8.925059503704182,40.038901805877686
3,0,3033,3796,1,0.01,0.7157033681869507,0.6747215986251831,0.029384814202785492,0.011596878059208393,0.0,0.012595057487487793,0.7583928108215332,0.7210261225700378,9.070256439148848,42.985236167907715
3,1,3034,3796,1,0.01,0.5100753903388977,0.4707152247428894,0.029390113428235054,0.009969883598387241,0.0,0.014576972462236881,0.8080438375473022,0.44052404165267944,8.132958870874583,41.203369140625
3,2,3035,3796,1,0.01,0.4059677720069885,0.366854727268219,0.02931404300034046,0.00979906227439642,0.0,0.011041266843676567,0.7768847346305847,0.27301645278930664,7.711043201488656,41.84364914894104
3,3,3036,3797,1,0.01,0.5083674788475037,0.4687912166118622,0.02938222512602806,0.010194022208452225,0.0,0.012261062860488892,0.8073172569274902,0.4213235378265381,8.288338400715027,42.095524072647095
3,4,3037,3796,1,0.01,0.6106491684913635,0.5720964670181274,0.02935991995036602,0.009192775003612041,0.0,0.012359500862658024,0.7995597720146179,0.5694133639335632,7.41520730326045,42.81291174888611
4,0,4033,3796,1,0.01,0.7093784809112549,0.668594479560852,0.02896246872842312,0.011821547523140907,0.0,0.011232352815568447,0.7568650841712952,0.7200260162353516,11.987943958530686,39.585811138153076
4,1,4034,3796,1,0.01,0.5124974846839905,0.47191667556762695,0.029028335586190224,0.011552589014172554,0.0,0.011818643659353256,0.80671226978302,0.4464457631111145,7.356042183390763,39.39540910720825
4,2,4035,3796,1,0.01,0.4039747714996338,0.3642142415046692,0.028909198939800262,0.010851467959582806,0.0,0.012417944148182869,0.7831710577011108,0.26268264651298523,7.337145783898856,39.58915185928345
4,3,4036,3797,1,0.01,0.4875839650630951,0.44915294647216797,0.028926469385623932,0.009504510089755058,0.0,0.01055134180933237,0.82422935962677,0.44377684593200684,9.320211884127763,39.550541162490845
4,4,4037,3796,1,0.01,0.60056072473526,0.5637016892433167,0.028911596164107323,0.007947408594191074,0.0,0.01020119059830904,0.8060721158981323,0.5775458812713623,8.081374877696591,39.995994329452515
5,0,5033,3796,1,0.01,0.7077889442443848,0.6677628755569458,0.028538087382912636,0.011487959884107113,0.0,0.011469993740320206,0.7624833583831787,0.7168810367584229,10.415751057061131,39.57761478424072
5,1,5034,3796,1,0.01,0.49606889486312866,0.46030303835868835,0.028451865538954735,0.007314041256904602,0.0,0.010944806970655918,0.8166735172271729,0.4828091859817505,5.980359640633026,39.52864217758179
5,2,5035,3796,1,0.01,0.39364200830459595,0.3570534586906433,0.028370920568704605,0.008217799477279186,0.0,0.009782950393855572,0.7946434020996094,0.2691444158554077,5.9536075853274895,39.48236274719238
5,3,5036,3797,1,0.01,0.4911573827266693,0.45410701632499695,0.028502294793725014,0.008548062294721603,0.0,0.009693010710179806,0.8198425769805908,0.4398602843284607,6.418030703463472,39.51661801338196
5,4,5037,3796,1,0.01,0.5975220203399658,0.5610875487327576,0.028471948578953743,0.007962485775351524,0.0,0.010194663889706135,0.8088141679763794,0.5840969681739807,7.10350270843679,39.473695039749146
6,0,6033,3796,1,0.01,0.6973666548728943,0.6572512984275818,0.028081534430384636,0.01203392818570137,0.0,0.011336100287735462,0.7713637351989746,0.733860433101654,9.641772028166818,39.48587512969971
6,1,6034,3796,1,0.01,0.49966883659362793,0.4639521837234497,0.02796964719891548,0.007747037801891565,0.0,0.00894942507147789,0.8129637837409973,0.47285914421081543,6.651782046838454,39.5251247882843
6,2,6035,3796,1,0.01,0.39411595463752747,0.35751035809516907,0.027898011729121208,0.008707644417881966,0.0,0.008331330493092537,0.7926957607269287,0.2833624482154846,7.477643863255411,39.54313397407532
6,3,6036,3797,1,0.01,0.49187108874320984,0.4563755393028259,0.028027880936861038,0.007467446383088827,0.0,0.00947717484086752,0.8180376887321472,0.43827104568481445,7.181311327262777,40.05730366706848
6,4,6037,3796,1,0.01,0.5933252573013306,0.5582901835441589,0.027994884178042412,0.007040198892354965,0.0,0.00877161230891943,0.811174750328064,0.5985537767410278,6.6987232830463235,39.607954025268555
7,0,7033,3796,1,0.01,0.6974868774414062,0.6595341563224792,0.0275009386241436,0.01045184675604105,0.0,0.011408914811909199,0.7699434161186218,0.7171509265899658,8.803081019146177,39.53702902793884
7,1,7034,3796,1,0.01,0.49562183022499084,0.460866779088974,0.027477728202939034,0.007277391850948334,0.0,0.008749637752771378,0.8181238770484924,0.4668583273887634,5.3749786717626815,39.498146057128906
