round,client_id,client_seed,images,local_epochs,mu,loss,classification_loss,regularization_loss,proximal_loss_epoch_mean,initial_proximal_loss,final_proximal_loss,roc_auc,pr_auc,update_l2,training_seconds
8,2,8024,3796,1,0.01,0.6241617202758789,0.5887945890426636,0.026797842234373093,0.00856925267726183,0.0,0.009675840847194195,0.8144863247871399,0.6702137589454651,5.09463089399051,40.16124391555786
8,3,8025,3796,1,0.01,0.6601467132568359,0.6236246824264526,0.026810593903064728,0.009711378253996372,0.0,0.008893754333257675,0.8007149696350098,0.7326109409332275,5.772093967312826,40.149362087249756
8,4,8026,3796,1,0.01,0.5267385244369507,0.4931333661079407,0.026746448129415512,0.006858651526272297,0.0,0.009669961407780647,0.7991729974746704,0.445438951253891,5.413736632606646,40.14416527748108
9,0,9022,3796,1,0.01,0.3279777467250824,0.29212284088134766,0.02616702765226364,0.009687918238341808,0.0,0.008243693970143795,0.8062885403633118,0.2037617266178131,9.64419748919307,40.11963987350464
9,1,9023,3797,1,0.01,0.4855579137802124,0.4523063898086548,0.02622726373374462,0.007024303078651428,0.0,0.008262879215180874,0.8097078800201416,0.4442455768585205,5.775070317750176,39.85157775878906
9,2,9024,3796,1,0.01,0.6217035055160522,0.5877957344055176,0.02626127563416958,0.007646425161510706,0.0,0.008281032554805279,0.8148545026779175,0.6721329092979431,4.995298705623162,40.056116819381714
9,3,9025,3796,1,0.01,0.6590788960456848,0.6234948039054871,0.026314711198210716,0.009269112721085548,0.0,0.009459284134209156,0.7997134327888489,0.7294650673866272,5.155442576238841,40.10753583908081
9,4,9026,3796,1,0.01,0.5227267146110535,0.4904576241970062,0.026242826133966446,0.006026179995387793,0.0,0.008598302491009235,0.802550196647644,0.4594469666481018,4.74336012997666,40.112431049346924
10,0,10022,3796,1,0.01,0.3238888382911682,0.2886287271976471,0.025654323399066925,0.009605727158486843,0.0,0.009692569263279438,0.8106364607810974,0.22175027430057526,7.161315270105919,40.195096015930176
10,1,10023,3797,1,0.01,0.47726351022720337,0.4452511668205261,0.025765174999833107,0.006247170735150576,0.0,0.0070344689302146435,0.8163598775863647,0.4589524269104004,4.584602622743617,40.06445074081421
10,2,10024,3796,1,0.01,0.6351463794708252,0.6010041832923889,0.025819925591349602,0.00832237210124731,0.0,0.00828352477401495,0.8058390617370605,0.6639045476913452,5.795189638347818,40.18277978897095
10,3,10025,3796,1,0.01,0.6594023108482361,0.6243866086006165,0.025855528190732002,0.009160207584500313,0.0,0.009814376011490822,0.8026938438415527,0.7385954260826111,6.500500901364828,40.34166097640991
10,4,10026,3796,1,0.01,0.5258110761642456,0.4932321608066559,0.025757359340786934,0.006821485701948404,0.0,0.007509451825171709,0.8015062808990479,0.4545809030532837,5.2021434723345665,40.12982392311096
11,0,11022,3796,1,0.01,0.3234826922416687,0.2894871234893799,0.025214923545718193,0.008780848234891891,0.0,0.0078079295344650745,0.8143402934074402,0.20284166932106018,8.850636003520027,40.12216281890869
11,1,11023,3797,1,0.01,0.47889041900634766,0.4470846354961395,0.025274094194173813,0.006531705614179373,0.0,0.008555036969482899,0.81487637758255,0.45312315225601196,5.047752865419169,40.02519226074219
11,2,11024,3796,1,0.01,0.6310403347015381,0.5977543592453003,0.025339394807815552,0.007946610450744629,0.0,0.008754859678447247,0.8079328536987305,0.6670721173286438,6.10814216337842,40.05724287033081
11,3,11025,3796,1,0.01,0.6534842252731323,0.6190066337585449,0.025332488119602203,0.009145082905888557,0.0,0.009573657065629959,0.8059530258178711,0.7316576242446899,6.217732233550142,40.064873933792114
11,4,11026,3796,1,0.01,0.5166077017784119,0.48373568058013916,0.025329243391752243,0.007542857434600592,0.0,0.008634795434772968,0.8086065649986267,0.46789517998695374,5.609869329436271,40.37378191947937
12,0,12022,3796,1,0.01,0.3222288489341736,0.28887125849723816,0.024672267958521843,0.008685287088155746,0.0,0.007010579574853182,0.8113003969192505,0.21789179742336273,8.113631216911106,41.43222403526306
12,1,12023,3797,1,0.01,0.47713974118232727,0.44579532742500305,0.024847356602549553,0.006497048307210207,0.0,0.008222551085054874,0.8165764212608337,0.4419681429862976,5.28427986946459,40.65983605384827
12,2,12024,3796,1,0.01,0.6262667179107666,0.5937372446060181,0.024889107793569565,0.007640421390533447,0.0,0.009494024328887463,0.8105728626251221,0.6695796251296997,6.311449555028724,40.76980113983154
12,3,12025,3796,1,0.01,0.6534296274185181,0.6200761795043945,0.02484329789876938,0.00851041916757822,0.0,0.008139153011143208,0.8044164180755615,0.7305474281311035,5.82369177866701,39.83250093460083
12,4,12026,3796,1,0.01,0.5228163599967957,0.49122101068496704,0.024809319525957108,0.00678603257983923,0.0,0.007885503582656384,0.8028241395950317,0.45006608963012695,5.759157230978628,39.989997148513794
13,0,13022,3796,1,0.01,0.32713526487350464,0.2925291955471039,0.024272441864013672,0.010333603248000145,0.0,0.008146261796355247,0.807287335395813,0.19933579862117767,11.028245243434915,39.920284271240234
13,1,13023,3797,1,0.01,0.47664692997932434,0.4464004635810852,0.024301348254084587,0.005945042707026005,0.0,0.007205347064882517,0.8147292137145996,0.4622689187526703,4.677320562947688,39.94535708427429
13,2,13024,3796,1,0.01,0.6302617192268372,0.5989038944244385,0.024355072528123856,0.007002717349678278,0.0,0.007836922071874142,0.8076547384262085,0.6718469858169556,4.788681377807377,39.900553941726685
13,3,13025,3796,1,0.01,0.6524167656898499,0.6188532710075378,0.024418994784355164,0.009144620969891548,0.0,0.007094311993569136,0.8045390844345093,0.7287911772727966,6.248165292676001,40.131285190582275
13,4,13026,3796,1,0.01,0.5139634013175964,0.48237818479537964,0.024376191198825836,0.007208876311779022,0.0,0.008511986583471298,0.8107177019119263,0.48365259170532227,4.8209624976367245,39.978792905807495
14,0,14022,3796,1,0.01,0.32148146629333496,0.28811556100845337,0.023758603259921074,0.009607357904314995,0.0,0.007534749805927277,0.8108446598052979,0.23167572915554047,7.891165274852917,39.994884729385376
14,1,14023,3797,1,0.01,0.47710391879081726,0.4466516971588135,0.023869335651397705,0.006582938134670258,0.0,0.007709850091487169,0.8157714009284973,0.4558064937591553,4.769184680826086,40.023853063583374
14,2,14024,3796,1,0.01,0.6296865940093994,0.59807950258255,0.02393958903849125,0.007667297963052988,0.0,0.007636799477040768,0.8065021634101868,0.6729390025138855,4.928224384667208,40.1049919128418
14,3,14025,3796,1,0.01,0.6491546034812927,0.6170528531074524,0.023959016427397728,0.008142842911183834,0.0,0.007713941857218742,0.8057760000228882,0.7336960434913635,4.913524296381916,40.0141499042511
14,4,14026,3796,1,0.01,0.5135645270347595,0.48199641704559326,0.02387528121471405,0.007692837622016668,0.0,0.008474588394165039,0.8103929162025452,0.46245908737182617,5.384460639467809,40.131980180740356
