round,roc_auc,pr_auc,accuracy_at_0_5,sensitivity_at_0_5,specificity_at_0_5,f1_score_at_0_5,log_loss,global_update_l2,mean_client_update_l2,minimum_client_update_l2,maximum_client_update_l2,round_seconds
0,0.44540092431436157,0.19021934932823567,0.2202551418901328,1.0,0.0,0.36099850650736076,0.7064646872742556,0.0,0.0,0.0,0.0,0.0
1,0.5642838537041641,0.2572536011787136,0.2202551418901328,1.0,0.0,0.36099850650736076,2.4214730235853006,13.008727279014511,14.71880159849635,13.90017262936662,15.652252358671674,214.89889097213745
2,0.6274764481385445,0.31398416844287524,0.2202551418901328,1.0,0.0,0.36099850650736076,2.57819973650313,10.211255957028264,11.863127682510886,10.58837078249708,14.009948914585548,211.95584297180176
3,0.6999502717294782,0.396791038588851,0.2202551418901328,1.0,0.0,0.36099850650736076,2.4714855905534057,12.162626251450058,13.733337617638597,12.896253737875895,15.29494082863515,204.67282795906067
4,0.7478117587626343,0.4474698417450227,0.3413173652694611,0.9739952718676123,0.1626043405676127,0.39444710387745335,1.2635844588968363,11.759541602811733,13.501322429067788,12.05942043526135,15.193267526951784,204.95170307159424
5,0.8018399460093064,0.5415626531476743,0.6474876334287946,0.8427895981087471,0.5923205342237062,0.5129496402877698,0.663530003777976,8.489997164706711,10.847617751458897,8.972040810318264,12.47228390653525,206.57179379463196
6,0.8004897839977583,0.5429376561538755,0.6854985680812289,0.7884160756501182,0.6564273789649415,0.5247836349331235,0.6209582622415522,9.675459228167147,11.746840363953249,10.22172402905703,13.024209781039795,205.35783696174622
7,0.8127367519545973,0.5719170937465698,0.7628221817235095,0.6891252955082743,0.7836393989983306,0.561386615310544,0.48468984653577546,6.393266996423957,9.256053888953957,8.56805661369123,10.325025947029037,207.60556626319885
8,0.812108044534429,0.5618589388166316,0.640458214006769,0.8640661938534279,0.5772954924874791,0.5142455153007387,0.7063806043525098,6.150936710046525,9.304361362009569,8.442998022278173,10.912272308356116,207.82808899879456
9,0.8156963733882713,0.5782277757935711,0.7971882322311898,0.5780141843971631,0.8590984974958263,0.5566306203756403,0.43083780722474585,5.977060576044096,9.654955879328888,8.712650203666055,11.206377569949002,208.29924988746643
10,0.8156869013367433,0.5795119358940446,0.7552720645665192,0.706855791962175,0.7689482470784641,0.5599250936329588,0.49847722627157665,4.767936856953092,8.674805396086622,7.742477450150876,9.947500041387737,207.98210191726685
11,0.8136198234251727,0.5741335614951866,0.6368133298620151,0.8676122931442081,0.5716193656093489,0.5127488648271045,0.7178175746488948,4.321006155468477,8.940853720123913,8.24451351966685,10.587131084301966,204.6602098941803
12,0.8139996921583253,0.5745422387550336,0.6524342619109607,0.8546099290780141,0.5953255425709516,0.5199568500539374,0.7202412818606239,4.259660132304943,8.052118192178627,7.338250570361718,9.135965620501581,206.21626329421997
13,0.8196647683096728,0.5875848164161198,0.7784431137724551,0.6524822695035462,0.8140233722871453,0.5647058823529412,0.4588158782824689,4.41994225427963,8.667041291757368,7.6762970899077345,10.295045108840691,209.3165638446808
14,0.818676122931442,0.5875206742550323,0.7305389221556886,0.7600472813238771,0.7222036727879799,0.5540715208961654,0.5458145796441277,4.289432592052033,8.046917172074135,7.6472148268285105,8.40682307503732,207.35322403907776
15,0.8150842420582768,0.5654133371550167,0.6670137984899766,0.8475177304964538,0.6160267111853088,0.5285661629192776,0.639939074186453,4.937450261490573,8.438928224792784,7.802157041998004,9.179807976005087,213.39854073524475
16,0.8188935854477715,0.5837478383097691,0.71674043217912,0.7919621749408984,0.6954924874791318,0.5518945634266886,0.5804841351439827,4.973200099369583,8.867756779967202,7.976008887569578,10.469250707966866,212.60535788536072
17,0.8212840944521406,0.5903297363677985,0.6724811247071075,0.8380614657210402,0.6257095158597663,0.5298953662182362,0.6462999300680038,5.105296934862005,8.771776604193473,8.118639505697757,9.393110743002106,206.61128497123718
18,0.8105755455309676,0.5682535003312792,0.6149440249934913,0.8664302600472813,0.5439065108514191,0.4977928692699491,0.7853451554054802,4.008869538770645,7.758460748842147,7.514314166155317,8.039320147912415,212.51992869377136
19,0.820527119667531,0.586133963081298,0.7011195001301744,0.8203309692671394,0.6674457429048414,0.5473186119873817,0.6046052192671568,4.174484100613623,8.67218666677876,7.4903420865754855,11.25313813105774,213.60656213760376
20,0.821163325795159,0.5892799786558951,0.7164800833116376,0.8096926713947991,0.6901502504173622,0.5571370475803172,0.5801511064854898,4.082299370438162,8.001510566617863,7.490829936781324,8.87079706524363,217.72406888008118
