round,client_id,client_seed,images,local_epochs,loss,roc_auc,pr_auc,update_l2,training_seconds
16,0,16033,3796,1,0.6661887764930725,0.7784503698348999,0.7328464388847351,14.43872018835989,1070.063010931015
16,1,16034,3796,1,0.45647934079170227,0.8365377187728882,0.5037491321563721,11.245334803633096,987.7796530723572
16,2,16035,3796,1,0.36593353748321533,0.8058280944824219,0.29014015197753906,10.215962390234276,615.2462840080261
16,3,16036,3797,1,0.45917701721191406,0.8304719924926758,0.45788702368736267,8.205194471401319,993.5904335975647
16,4,16037,3796,1,0.5533322691917419,0.8263263702392578,0.6221986413002014,8.981780034767338,1008.575003862381
17,0,17033,3796,1,0.6579270362854004,0.7858520150184631,0.7420753240585327,14.312538463440246,1007.3014941215515
17,1,17034,3796,1,0.46143919229507446,0.8321753144264221,0.5021345615386963,8.80550969599314,38.04416298866272
17,2,17035,3796,1,0.36530357599258423,0.8069804906845093,0.28303062915802,10.089716532466516,616.2813010215759
17,3,17036,3797,1,0.4444425404071808,0.8436050415039062,0.481964647769928,8.501512249401397,972.7667248249054
17,4,17037,3796,1,0.5585445761680603,0.8232932090759277,0.6274549961090088,9.127872393359098,1090.2355251312256
18,0,18033,3796,1,0.6578356623649597,0.7845858335494995,0.7514840960502625,13.013301712477494,1041.3190310001373
18,1,18034,3796,1,0.452006459236145,0.8389490842819214,0.5186233520507812,11.2341274454666,520.3503851890564
18,2,18035,3796,1,0.3636487126350403,0.8078289031982422,0.28588080406188965,10.471906123286173,38.28946304321289
18,3,18036,3797,1,0.45265644788742065,0.8347477912902832,0.4564339518547058,7.42005538294107,980.5974128246307
18,4,18037,3796,1,0.5559123754501343,0.8247791528701782,0.6132290363311768,10.757984556357005,949.274973154068
19,0,19033,3796,1,0.6453771591186523,0.7921621799468994,0.7480646371841431,11.403071814258672,1005.4515109062195
19,1,19034,3796,1,0.45732665061950684,0.8344666361808777,0.49708837270736694,10.464087667016646,681.3154878616333
19,2,19035,3796,1,0.3581472337245941,0.8134100437164307,0.3085322678089142,10.979543196480813,995.5810270309448
19,3,19036,3797,1,0.4459836184978485,0.8406989574432373,0.48866191506385803,8.986352113513085,937.1701638698578
19,4,19037,3796,1,0.5540497303009033,0.8247678279876709,0.6214433312416077,8.174908522524278,38.07825589179993
20,0,20033,3796,1,0.6508593559265137,0.7893455624580383,0.7405882477760315,14.016240124631604,38.02309226989746
20,1,20034,3796,1,0.45805084705352783,0.8343060612678528,0.5186107158660889,9.27747920287308,724.1038360595703
20,2,20035,3796,1,0.3694664537906647,0.7993358969688416,0.27460429072380066,10.29962926102784,942.3597011566162
20,3,20036,3797,1,0.4465179145336151,0.8392660617828369,0.4885696768760681,7.236934979823595,1034.306627035141
20,4,20037,3796,1,0.5557762980461121,0.8256967067718506,0.6300117373466492,8.536767016445436,38.232622146606445
