round,client_id,client_seed,images,local_epochs,loss,roc_auc,pr_auc,update_l2,training_seconds
1,0,1033,3796,1,0.6286584138870239,0.7487671375274658,0.45905932784080505,13.807123333484116,43.84756779670715
1,1,1034,3796,1,0.6374428868293762,0.7371436357498169,0.4532243013381958,14.420918379760748,43.19502782821655
1,2,1035,3796,1,0.62250816822052,0.7580353021621704,0.46042144298553467,14.608930604010583,40.25770401954651
1,3,1036,3796,1,0.6105539798736572,0.7669806480407715,0.48150330781936646,14.982871945758696,40.051027059555054
1,4,1037,3797,1,0.6201145648956299,0.7564252614974976,0.47111275792121887,14.615023858815348,38.824193239212036
2,0,2033,3796,1,0.6092591285705566,0.7657994031906128,0.47807690501213074,12.29601958159925,38.677592039108276
2,1,2034,3796,1,0.614845335483551,0.762817919254303,0.4805503487586975,12.143425408334789,38.60362219810486
2,2,2035,3796,1,0.5874325037002563,0.7901782393455505,0.5182827711105347,12.685726700853694,41.01626896858215
2,3,2036,3796,1,0.5901529788970947,0.7880761623382568,0.512298047542572,11.790639065897379,42.51853108406067
2,4,2037,3797,1,0.5991255044937134,0.775678277015686,0.5104581117630005,11.267662166956953,41.70436716079712
3,0,3033,3796,1,0.592077374458313,0.7818965911865234,0.510993480682373,15.38659389394395,40.746232748031616
3,1,3034,3796,1,0.6050616502761841,0.7711202502250671,0.5143154859542847,13.636762375041538,40.34329319000244
3,2,3035,3796,1,0.5771278738975525,0.7986190319061279,0.5135700702667236,13.834045061804398,40.50629806518555
3,3,3036,3796,1,0.585623562335968,0.7910589575767517,0.5247543454170227,14.193738552757292,42.4527862071991
3,4,3037,3797,1,0.591055154800415,0.7827404737472534,0.5075197815895081,12.846846667726425,39.390724658966064
4,0,4033,3796,1,0.586794912815094,0.786672055721283,0.5267148613929749,13.41854260792515,40.31889986991882
4,1,4034,3796,1,0.6000152826309204,0.7756221890449524,0.5149387121200562,15.89854502160518,38.638185024261475
4,2,4035,3796,1,0.5730592608451843,0.7999913692474365,0.5343018174171448,14.725173662967672,38.46426296234131
4,3,4036,3796,1,0.579634428024292,0.793588399887085,0.5335932970046997,13.398628815374465,40.58347201347351
4,4,4037,3797,1,0.5814497470855713,0.7912872433662415,0.5294743776321411,14.493849740541823,38.56996417045593
5,0,5033,3796,1,0.591224193572998,0.7822128534317017,0.515616238117218,14.227994296145344,38.39685297012329
5,1,5034,3796,1,0.5892825126647949,0.7845350503921509,0.527572512626648,12.3124966117188,41.080923080444336
5,2,5035,3796,1,0.5639296770095825,0.8073515892028809,0.5228207111358643,9.613489650529973,40.168972969055176
5,3,5036,3796,1,0.5769984126091003,0.7947551012039185,0.5286731123924255,10.852227590626203,43.455671072006226
5,4,5037,3797,1,0.5766870975494385,0.7941092252731323,0.5328915119171143,10.938103809007698,38.772379875183105
6,0,6033,3796,1,0.5732582807540894,0.7962526679039001,0.5451239347457886,10.523923787883776,38.53486895561218
6,1,6034,3796,1,0.5877154469490051,0.7841644883155823,0.5325980186462402,11.042057740634153,39.55913591384888
6,2,6035,3796,1,0.5589607954025269,0.8113677501678467,0.5457175374031067,9.522638444545414,43.10494112968445
6,3,6036,3796,1,0.5720500349998474,0.7999782562255859,0.5391634702682495,10.310902501796834,43.62581515312195
6,4,6037,3797,1,0.5706866383552551,0.7994739413261414,0.5306551456451416,9.821541245391206,42.26072072982788
7,0,7033,3796,1,0.574765145778656,0.7949985265731812,0.5434564352035522,10.593760231381586,43.56972002983093
7,1,7034,3796,1,0.5822734236717224,0.7885236144065857,0.5453394651412964,10.002395478379487,44.454760789871216
7,2,7035,3796,1,0.5592014193534851,0.8101246356964111,0.562911868095398,8.099579732254407,43.48897194862366
7,3,7036,3796,1,0.5682650208473206,0.8034989833831787,0.5346288084983826,11.743545191515306,43.09282398223877
7,4,7037,3797,1,0.5695936679840088,0.7988229990005493,0.5327997803688049,8.653932330784404,42.67660117149353
8,0,8033,3796,1,0.5680328011512756,0.7984180450439453,0.557968258857727,8.977514723042678,42.62595987319946
8,1,8034,3796,1,0.5798736214637756,0.7887513041496277,0.5394972562789917,8.777515328129363,42.736711263656616
8,2,8035,3796,1,0.5516045689582825,0.8161423802375793,0.5706620216369629,8.398362838027156,41.04292607307434
8,3,8036,3796,1,0.5578438639640808,0.8095784187316895,0.5421866178512573,10.483795685090493,42.49173712730408
