round,client_id,client_seed,images,local_epochs,loss,roc_auc,pr_auc,update_l2,training_seconds
1,0,1022,3799,1,0.5864123702049255,0.7585127949714661,0.39184194803237915,14.67001996089656,39.55131006240845
1,1,1023,3800,1,0.5661072134971619,0.7965264916419983,0.47054943442344666,15.272440134134126,39.88914680480957
1,2,1024,3795,1,0.4241923689842224,0.7685462236404419,0.24708423018455505,14.290630051280926,40.07038593292236
1,3,1025,3790,1,0.31123971939086914,0.7117866277694702,0.08641624450683594,14.85392107493715,40.034549951553345
1,4,1026,3797,1,0.676967203617096,0.7270771265029907,0.7697544097900391,15.32346379091384,40.009867906570435
2,0,2022,3799,1,0.5484002232551575,0.7968316078186035,0.4641476571559906,12.819470682807083,39.93417501449585
2,1,2023,3800,1,0.5419497489929199,0.8139287829399109,0.5112693309783936,12.1261839035269,39.93321990966797
2,2,2024,3795,1,0.3870256841182709,0.8169515132904053,0.31185847520828247,13.965569009076267,39.958215951919556
2,3,2025,3790,1,0.27732348442077637,0.7814913988113403,0.11936357617378235,15.059171577560182,39.895484924316406
2,4,2026,3797,1,0.6856896877288818,0.7311862111091614,0.7759138941764832,16.475844934024252,39.98305797576904
3,0,3022,3799,1,0.5378689765930176,0.8061318397521973,0.4727048873901367,12.381082239456711,39.90722727775574
3,1,3023,3800,1,0.5371242761611938,0.8175635933876038,0.5257404446601868,14.125810555020871,39.854188203811646
3,2,3024,3795,1,0.37331655621528625,0.8320735692977905,0.3343386948108673,13.68457091295099,39.87851595878601
3,3,3025,3790,1,0.2615877687931061,0.815800666809082,0.16694870591163635,13.410257082303051,39.96683692932129
3,4,3026,3797,1,0.692038357257843,0.7277106642723083,0.7754589319229126,18.92546082874187,40.069451093673706
4,0,4022,3799,1,0.5324416756629944,0.8085300922393799,0.4829607903957367,13.248703715808766,40.10689830780029
4,1,4023,3800,1,0.5321948528289795,0.8227181434631348,0.5333908200263977,11.677062142875434,40.05753183364868
4,2,4024,3795,1,0.3674282133579254,0.8386405110359192,0.34049126505851746,11.310581048703918,40.02656674385071
4,3,4025,3790,1,0.26183000206947327,0.8127362132072449,0.15136095881462097,18.92240520437451,40.06480407714844
4,4,4026,3797,1,0.6893499493598938,0.7248637676239014,0.7772070169448853,22.228494632090033,39.8579158782959
5,0,5022,3799,1,0.5242524147033691,0.816502571105957,0.4856381118297577,11.040894959326232,39.846022844314575
5,1,5023,3800,1,0.5250980257987976,0.8264343738555908,0.5323486924171448,12.00585201995109,39.83239483833313
5,2,5024,3795,1,0.36597365140914917,0.8386145234107971,0.3374526798725128,11.399328213655627,39.927334785461426
5,3,5025,3790,1,0.26279720664024353,0.8061951398849487,0.1435566395521164,16.840786980088698,39.79811906814575
5,4,5026,3797,1,0.6820046901702881,0.7351862192153931,0.7768735885620117,20.56565647150432,39.831759214401245
6,0,6022,3799,1,0.5229678750038147,0.8158307671546936,0.4913344979286194,11.764585095266986,39.8530170917511
6,1,6023,3800,1,0.5237323045730591,0.8269451856613159,0.5392299890518188,12.291786262935242,39.63647699356079
6,2,6024,3795,1,0.3585524559020996,0.8438352346420288,0.37647905945777893,10.774195792320443,39.87181806564331
6,3,6025,3790,1,0.26046624779701233,0.8072516918182373,0.1607481688261032,18.683259138635137,39.81594705581665
6,4,6026,3797,1,0.6754172444343567,0.7406075596809387,0.7887420058250427,22.36418546571254,39.818207025527954
7,0,7022,3799,1,0.5168969035148621,0.8201020956039429,0.49267908930778503,9.486301264191075,39.81858801841736
7,1,7023,3800,1,0.5225417017936707,0.8261622786521912,0.5245380401611328,10.680677506307614,39.840954065322876
7,2,7024,3795,1,0.3564954996109009,0.8463724255561829,0.36316820979118347,12.76219622860188,39.71607494354248
7,3,7025,3790,1,0.2591434121131897,0.8127643465995789,0.15436536073684692,18.914253181455738,39.747796058654785
7,4,7026,3797,1,0.687035858631134,0.732171356678009,0.7839748859405518,19.936218446062334,39.858120918273926
8,0,8022,3799,1,0.5157172083854675,0.819894552230835,0.5004367828369141,11.286287439973215,39.84166121482849
8,1,8023,3800,1,0.5065374374389648,0.8370729684829712,0.5665133595466614,12.09134837173843,39.896175146102905
8,2,8024,3795,1,0.35629239678382874,0.8458153605461121,0.350986510515213,12.832958019913162,39.86410403251648
8,3,8025,3790,1,0.25022754073143005,0.8296799659729004,0.17207565903663635,15.845829827002271,39.72252798080444
8,4,8026,3797,1,0.6826572418212891,0.7349634766578674,0.7831013202667236,17.859224317893435,39.77558517456055
9,0,9022,3799,1,0.5078285932540894,0.8250669240951538,0.4958905577659607,10.754946112207932,39.71269392967224
9,1,9023,3800,1,0.5038339495658875,0.8389217853546143,0.5532618761062622,13.237773510363436,39.51536583900452
9,2,9024,3795,1,0.3467848002910614,0.85589599609375,0.36591923236846924,10.829654278419534,39.75421690940857
9,3,9025,3790,1,0.2545680105686188,0.8186545968055725,0.15330293774604797,13.180465240651676,39.77220606803894
9,4,9026,3797,1,0.6702860593795776,0.7442226409912109,0.7889734506607056,19.09856819873688,39.84062194824219
10,0,10022,3799,1,0.5058370232582092,0.827402651309967,0.5152726769447327,10.62934394869892,40.29616403579712
10,1,10023,3800,1,0.4987954795360565,0.8403723239898682,0.5599173307418823,13.181361592495671,39.937233209609985
10,2,10024,3795,1,0.35006415843963623,0.8518618941307068,0.3568863272666931,10.96016411547006,39.82868313789368
10,3,10025,3790,1,0.24427740275859833,0.8351974487304688,0.2026422917842865,13.94494264088171,39.76881814002991
10,4,10026,3797,1,0.6717891097068787,0.7481169700622559,0.7944349050521851,19.032752702548105,39.68391299247742
11,0,11022,3799,1,0.5058690309524536,0.8264724016189575,0.5129452347755432,10.788519300636635,39.66403388977051
11,1,11023,3800,1,0.5032619833946228,0.8366599082946777,0.5629781484603882,10.546967313699632,39.6761109828949
11,2,11024,3795,1,0.34561726450920105,0.8544814586639404,0.3824804425239563,11.362248932815428,40.044516801834106
11,3,11025,3790,1,0.24569067358970642,0.8302825689315796,0.1836710274219513,13.02958720943166,40.29470491409302
11,4,11026,3797,1,0.6731952428817749,0.7419367432594299,0.7849699258804321,20.61447843565072,40.317716121673584
12,0,12022,3799,1,0.5142592787742615,0.8192166090011597,0.49059373140335083,11.944039463846932,39.83489680290222
12,1,12023,3800,1,0.4953407049179077,0.8418757319450378,0.5530704259872437,11.387353454841277,39.80456304550171
12,2,12024,3795,1,0.3406008780002594,0.859140932559967,0.3787817358970642,10.903579796686032,39.757867097854614
12,3,12025,3790,1,0.24382063746452332,0.8357718586921692,0.1735745668411255,11.55032650667309,39.61910009384155
12,4,12026,3797,1,0.670685887336731,0.7434602975845337,0.7849425673484802,20.308401848485946,39.743436098098755
13,0,13022,3799,1,0.49376216530799866,0.833794116973877,0.5284591913223267,11.789084224511878,41.292922258377075
13,1,13023,3800,1,0.4939488172531128,0.8437436819076538,0.5715768933296204,13.256461806389868,40.597442865371704
13,2,13024,3795,1,0.34720611572265625,0.8517827987670898,0.356764018535614,11.486064812557666,40.10128903388977
13,3,13025,3790,1,0.24391396343708038,0.8341971039772034,0.1776736080646515,13.897033567225199,39.92060971260071
13,4,13026,3797,1,0.6671960949897766,0.7435093522071838,0.7876717448234558,21.190725774618024,39.74207067489624
14,0,14022,3799,1,0.49876612424850464,0.8307640552520752,0.5141249299049377,11.790129460309032,40.077045917510986
14,1,14023,3800,1,0.49770960211753845,0.8407540321350098,0.5511430501937866,11.401191456130368,39.69531178474426
14,2,14024,3795,1,0.3438081741333008,0.8539270162582397,0.36514967679977417,12.349519774779392,39.5567889213562
14,3,14025,3790,1,0.242316335439682,0.8369972109794617,0.1674828827381134,14.687358966635552,39.94967198371887
14,4,14026,3797,1,0.6515938639640808,0.7517823576927185,0.7925928235054016,17.665217169760208,39.78339886665344
15,0,15022,3799,1,0.49320632219314575,0.8338231444358826,0.5151793360710144,11.361176625428312,39.79331612586975
15,1,15023,3800,1,0.49123749136924744,0.8446792364120483,0.5624604821205139,9.565942131575211,40.610395193099976
15,2,15024,3795,1,0.33849602937698364,0.8592815399169922,0.379574179649353,9.930706175722968,39.86771368980408
15,3,15025,3790,1,0.24120430648326874,0.8374423384666443,0.17366936802864075,14.956107285917819,39.58733916282654
15,4,15026,3797,1,0.6677713990211487,0.7444522380828857,0.7921474575996399,19.59845610759648,39.8503942489624
16,0,16022,3799,1,0.4982425272464752,0.8296151161193848,0.4986492395401001,12.393418996063147,39.96372890472412
16,1,16023,3800,1,0.48759692907333374,0.8464251160621643,0.5655255317687988,12.495460654809756,39.72984790802002
16,2,16024,3795,1,0.34063681960105896,0.8556811213493347,0.4007190763950348,11.057134954516364,39.82117509841919
16,3,16025,3790,1,0.23532544076442719,0.8461655974388123,0.2070239931344986,15.446817709228124,39.84484028816223
16,4,16026,3797,1,0.6632208824157715,0.7488819360733032,0.7924337387084961,17.198704035331204,40.08313226699829
17,0,17022,3799,1,0.4888553023338318,0.8359180688858032,0.5349375009536743,12.982142989679481,39.75093722343445
17,1,17023,3800,1,0.4919550120830536,0.8432890772819519,0.5689182281494141,14.515752181623448,39.55148911476135
