algorithm,seed,metric,moderate_value,severe_value,severe_minus_moderate
FedAvg,11,roc_auc,0.8212840944521406,0.8106686873709926,-0.010615407081147943
FedAvg,11,pr_auc,0.5903297363677985,0.5620514595862527,-0.02827827678154582
FedAvg,11,balanced_accuracy,0.7484517142439921,0.7385273722555717,-0.009924341988420404
FedAvg,11,f1_score,0.5595288178376104,0.5534535855697317,-0.006075232267878761
FedAvg,11,global_update_l2,5.105296934862005,4.460524986491728,-0.644771948370277
FedAvg,11,mean_client_update_l2,8.771776604193473,16.636181084917432,7.864404480723959
FedAvg,22,roc_auc,0.8182415925675969,0.8131695063087812,-0.005072086258815722
FedAvg,22,pr_auc,0.5851684174686163,0.5705492818245824,-0.014619135644033832
FedAvg,22,balanced_accuracy,0.743101978474763,0.7453393559794299,0.002237377504666904
FedAvg,22,f1_score,0.5578350065473592,0.5587602238484718,0.000925217301112613
FedAvg,22,global_update_l2,4.672461299604,4.444340996974522,-0.22812030262947758
FedAvg,22,mean_client_update_l2,12.733088981134523,13.885110777123566,1.152021795989043
FedAvg,33,roc_auc,0.8147491682354753,0.8128105550227527,-0.0019386132127225952
FedAvg,33,pr_auc,0.5804155064443397,0.5688640284040044,-0.011551478040335295
FedAvg,33,balanced_accuracy,0.7435163807291112,0.7404099424967538,-0.0031064382323573447
FedAvg,33,f1_score,0.5556978233034571,0.5605504587155963,0.004852635412139206
FedAvg,33,global_update_l2,4.408998605452441,3.965547415040115,-0.4434511904123255
FedAvg,33,mean_client_update_l2,10.167429866932078,19.94921893914843,9.781789072216352
FedProx,11,roc_auc,0.8197733022334309,0.8123318217517771,-0.007441480481653828
FedProx,11,pr_auc,0.5878883158725209,0.5656086905317188,-0.02227962534080208
FedProx,11,balanced_accuracy,0.7488451990512162,0.7387598321868204,-0.010085366864395762
FedProx,11,f1_score,0.5638575152041703,0.5636363636363636,-0.00022115156780666556
FedProx,11,global_update_l2,2.1304592715750434,2.1930641601193095,0.06260488854426605
FedProx,11,mean_client_update_l2,4.05790207522528,10.00624555221572,5.94834347699044
FedProx,22,roc_auc,0.8162169415534954,0.8148324433551584,-0.0013844981983370808
FedProx,22,pr_auc,0.5808666185408671,0.5757893885659824,-0.005077229974884689
FedProx,22,balanced_accuracy,0.7404636174554122,0.7442861822501647,0.0038225647947525143
FedProx,22,f1_score,0.5586642599277978,0.5684705882352942,0.009806328307496393
FedProx,22,global_update_l2,2.413720086905587,2.3291029987230965,-0.08461708818249036
FedProx,22,mean_client_update_l2,5.785017777345494,8.563315792940895,2.778298015595401
FedProx,33,roc_auc,0.8139994948239184,0.8127410933115475,-0.001258401512370888
FedProx,33,pr_auc,0.5775070472886997,0.5658039053181939,-0.011703141970505815
FedProx,33,balanced_accuracy,0.7402199094629741,0.7398205046235451,-0.0003994048394290184
FedProx,33,f1_score,0.558055805580558,0.5486284289276808,-0.009427376652877184
FedProx,33,global_update_l2,2.3275113687048026,2.0597457958441554,-0.26776557286064717
FedProx,33,mean_client_update_l2,5.29486618278254,9.496662656009267,4.201796473226727
