round,roc_auc,pr_auc,accuracy_at_0_5,sensitivity_at_0_5,specificity_at_0_5,f1_score_at_0_5,log_loss,global_update_l2,mean_client_update_l2,minimum_client_update_l2,maximum_client_update_l2,round_seconds
0,0.49827470528106343,0.21106756254524509,0.2202551418901328,1.0,0.0,0.36099850650736076,0.6974420193967543,0.0,0.0,0.0,0.0,0.0
1,0.5516787237989241,0.2433277057131988,0.2202551418901328,1.0,0.0,0.36099850650736076,2.503587862910617,12.970205981858308,14.486973624365897,13.807123333484116,14.982871945758696,214.97333002090454
2,0.6192166218717563,0.3042077575821597,0.2202551418901328,1.0,0.0,0.36099850650736076,3.1105310915509,10.47447913957413,12.036694584728412,11.267662166956953,12.685726700853694,212.11188197135925
3,0.711872229918264,0.4169909676542338,0.2202551418901328,1.0,0.0,0.36099850650736076,2.5611022269140644,12.624483648544386,13.979597310254722,12.846846667726425,15.38659389394395,212.5785140991211
4,0.751590317984663,0.45503789883134793,0.2650351470971101,0.9940898345153665,0.05909849749582638,0.37336293007769145,1.4685970296670807,12.679490341555887,14.38694796968286,13.398628815374465,15.89854502160518,205.86921072006226
5,0.796423116541754,0.53210188095456,0.6938297318406665,0.776595744680851,0.6704507512520869,0.5277108433734939,0.5944677594018166,9.510129684851236,11.588862391605605,9.613489650529973,14.227994296145344,211.5163767337799
6,0.8036676572853889,0.5553505955514904,0.6248372819578235,0.8498817966903073,0.5612687813021703,0.49947898575894406,0.706696761666952,7.453972851704758,10.244212744050277,9.522638444545414,11.042057740634153,218.29361391067505
7,0.8096970127517492,0.5623080326850745,0.6789898463941682,0.817966903073286,0.6397328881469115,0.5288498280473825,0.6322454497270813,7.3467461095216535,9.818642592863037,8.099579732254407,11.743545191515306,228.59941387176514
8,0.8135438496785423,0.5760401929300095,0.7396511325175735,0.7399527186761229,0.7395659432387313,0.5559502664298401,0.5323347879612961,6.062267132476039,8.893066844021343,7.8281456458170275,10.483795685090493,222.47561383247375
9,0.8113246269393039,0.564625874809622,0.6258786774277532,0.8723404255319149,0.5562604340567613,0.5066941297631308,0.7339566147027535,4.625583986371955,8.247349518361933,7.764406321988342,8.698957612287474,223.1984703540802
10,0.812654660841355,0.5715639077603252,0.7872949752668575,0.6087470449172577,0.8377295492487479,0.5576610720086627,0.44960823499986485,4.909415767084811,7.995318121218463,7.315658956191083,8.764770391853942,221.89337873458862
11,0.8101635112895014,0.564143549106522,0.665451705285082,0.8368794326241135,0.6170283806343907,0.5242502776749353,0.6553137624104642,4.728255878798845,8.23120455133882,7.560415914390674,9.732926205759753,219.06666493415833
12,0.8158483208815323,0.576722312483192,0.7534496224941422,0.7139479905437353,0.7646076794657763,0.5605568445475638,0.5022841493721129,4.6672145785909445,7.733606053364594,7.538317083680114,7.892371828843748,227.10247492790222
13,0.8194784846296232,0.5841284064383101,0.6649310075501171,0.8534278959810875,0.6116861435726211,0.5287440497986086,0.6652696207475749,4.324455680354507,7.832368022668561,7.156641763017161,8.25316668351801,213.07030129432678
14,0.8204935728183695,0.5889882085745077,0.7810466024472793,0.648936170212766,0.818363939899833,0.5662712738525013,0.4499470524228819,4.236777618918025,7.275225749696995,7.1370578258338355,7.607894603548228,205.68330788612366
15,0.8167941446934804,0.5792986316513478,0.596459255402239,0.892434988179669,0.5128547579298831,0.4934640522875817,0.7862300492367409,4.4015704128659765,7.5187616885471495,6.772881842545593,8.169405714733216,219.2957010269165
16,0.8196963418147662,0.5812318111242722,0.6956521739130435,0.817966903073286,0.66110183639399,0.5421073247160204,0.6098395952050158,4.092731224868998,7.135275099244791,6.336700042920107,7.785337714073685,968.366466999054
17,0.8221395391057594,0.5867772001330289,0.7253319448060401,0.7789598108747045,0.7101836393989983,0.5554150863885378,0.5522675136193818,4.401466862328776,7.2609227616494625,6.693904677035527,8.366579432530784,207.77712106704712
18,0.819850657320909,0.5867183768061177,0.6493100755011716,0.8534278959810875,0.591652754590985,0.5173772841275528,0.6974982147154704,3.6828518246204367,6.805994328898988,6.4726949634916595,7.173786773472318,222.17849898338318
19,0.8207493182096243,0.5772634167296855,0.635511585524603,0.8877068557919622,0.5642737896494157,0.5175740868366644,0.6891831415538756,3.378589774499277,6.386806055454384,5.754123864884699,6.904387093168789,232.76467776298523
20,0.8210938640839539,0.5806779065691408,0.6352512366571206,0.8699763593380615,0.5689482470784641,0.5123564218586844,0.7161134177507136,3.9349089386932925,7.216151605385444,6.209992333753996,7.7712254208788405,208.7313380241394
